aggregation_rule,model,selection_candidate,validation_r,validation_spearman_rho,validation_r2,validation_rmse,validation_mae,validation_mean_signed_error,validation_calibration_intercept,validation_calibration_slope,test_r,test_spearman_rho,test_r2,test_rmse,test_mae,test_mean_signed_error,test_calibration_intercept,test_calibration_slope
maximum,RandomForest,True,0.6299212085056883,0.5381139963019534,0.3724327981132196,2.5365116945778574,1.94474845568898,0.4641211119689042,0.32474247806544365,0.9157705355687651,0.62574657908291,0.6021659279374362,0.3654839763008947,2.175981775199141,1.5759869661028698,0.20532266672836197,1.755702244160204,0.8140704728373092
maximum,GradientBoosting,True,0.5969777511403902,0.5081437414583165,0.30852489191788735,2.662533159710953,2.0703436011789123,0.45180892399827866,1.5944057041817359,0.7812315868206193,0.6022619578979516,0.5987950286878929,0.31421334988645766,2.2621868314855185,1.5714842131506082,0.1661256829656685,2.5666365872092523,0.7399336820466417
maximum,SVR,True,0.6098912072060323,0.5600289412332181,0.3406577547143006,2.599933268126332,1.992612957028496,0.4701972103506994,0.8353666986507547,0.8606911843171596,0.6165861827464996,0.5852653287416933,0.32825885206025185,2.2389012184542065,1.626018805978904,0.2873420528176318,2.336822193169813,0.7531165032740376
maximum,Ridge,True,0.17379328140913142,0.17150896374306612,-1.1785086931249822,4.725920357147745,3.5487338368097943,0.9219268009397719,7.5189532907615995,0.1407421875814968,0.42344885032824536,0.40056738898802424,-0.5804047573859148,3.434140985957216,2.6414648080038856,0.7135929502473844,6.6116132278435575,0.33740988095461993
maximum,ElasticNet,True,0.512950417414277,0.4812605514912774,0.15517403168544397,2.943000780096295,2.3171674564149645,0.4775989034440784,2.930196071867046,0.6366618032642698,0.5680545720025499,0.5350108758150615,0.23871048968037456,2.3834655521647843,1.7900228499032402,0.14304538286649268,3.3600005650111653,0.6658949421452957
mean,RandomForest,True,0.6410623272826496,0.5790015274539754,0.3842191814806529,2.5196929318207015,1.9353551353380345,0.5221725942830998,-0.27710887331501344,0.9738730852131912,0.6572236503035521,0.6423110149980017,0.41314230240441596,2.0798439063715333,1.5030950671594525,0.1568380537721892,1.491930507642191,0.8408954748307532
mean,GradientBoosting,True,0.6086398751375569,0.5439504783342712,0.3329877210977551,2.622415202160653,2.0156172946177118,0.5487445094990571,0.6726358077654481,0.8701531414702083,0.6105458036204227,0.6094074796093476,0.3222246281967014,2.2351528696103022,1.6007768865928869,0.10761653356665644,2.6360869012194668,0.7339717610299114
mean,SVR,True,0.5928477885042424,0.5451242061258943,0.32350509694249185,2.640990286205867,2.042443528941206,0.45222976689574235,0.7766255672125122,0.8680040990990003,0.6589506901928799,0.638771297313505,0.3982794680564822,2.1060164289156678,1.546629412630717,0.2664926493794087,1.8018841159812058,0.802493626196874
mean,Ridge,True,0.15062562216074626,0.13012300024117693,-1.3491667959986708,4.921431745097461,3.661824537913004,0.5481264972686768,7.7755784120732985,0.11503572293599694,0.5621135988702761,0.5276282660408148,-0.17038482795898569,2.937167276559588,2.2322731914791065,0.7694306009951022,5.061890040688892,0.4686914396159803
mean,ElasticNet,True,0.4828264892868766,0.4336039874587989,0.11815443080291677,3.01530194607281,2.424245767328474,0.4815531357129415,3.1274425014770477,0.6135615946558045,0.6173646063658786,0.5871809735880357,0.32691835050972073,2.2273999961198254,1.6728541270573531,0.13200664218337543,2.653709934238933,0.7305354302238564
median,RandomForest,True,0.6309972197465215,0.5821046707934721,0.37659583202514657,2.5352418204538405,1.9288859205741693,0.4485164303396368,0.1745729760772301,0.933044954151434,0.6547780279287607,0.6462624608918399,0.40873745695635266,2.0884845588696015,1.501961887079951,0.13615606477578318,1.6023244981873432,0.8319877626770358
median,GradientBoosting,True,0.6096590071420199,0.5689524881421335,0.3367383488701756,2.6150318531461902,2.0665214944428936,0.44583273657030165,1.1388845947928765,0.8296626007852183,0.6216320094275252,0.6214444819590786,0.33120927508515263,2.221192538629394,1.604857595983088,0.17168987511991313,2.599530175900136,0.7330971366665116
median,SVR,True,0.5879791454096317,0.554915990031353,0.3191504937241887,2.6494766893762507,2.0335538739192844,0.41010220997736524,0.9516389264943055,0.8530654529800961,0.6513683667828731,0.6292943532997244,0.38383584490897205,2.1320103082162647,1.5670873799752512,0.2614480895781746,1.9720520992157895,0.7867299124415945
median,Ridge,True,0.22113736205613113,0.19996784307420207,-1.3083938930993253,4.878535816511934,3.5739244567023385,0.7389059448242187,7.300852476240224,0.16221757520943933,0.4550671707414811,0.42627009437406155,-0.4854844001526437,3.3103592929694607,2.513689276155058,0.6058759742683464,6.294569656519982,0.362077812451902
median,ElasticNet,True,0.5027119331088207,0.4790899589999196,0.13841941561721693,2.9804544657984944,2.3970332148340012,0.39055875115924416,3.175105805366567,0.6144447307487765,0.6002008088177391,0.5682638994352462,0.2908970822313015,2.2871556516324674,1.709939222269125,0.08757481741738488,3.036545622954991,0.6966509230588892
