setting,model,validation_r,validation_spearman_rho,validation_r2,validation_rmse,validation_mae,validation_mean_signed_error,validation_calibration_intercept,validation_calibration_slope,test_r,test_spearman_rho,test_r2,test_rmse,test_mae,test_mean_signed_error,test_calibration_intercept,test_calibration_slope
no_augmentation,RandomForest,0.6299212085056882,0.5381139963019534,0.3724327981132194,2.536511694577858,1.9447484556889805,0.4641211119689043,0.3247424780654494,0.9157705355687645,0.6257465790829096,0.6021659279374362,0.36548397630089446,2.1759817751991415,1.5759869661028698,0.2053226667283616,1.7557022441602053,0.8140704728373087
no_augmentation,GradientBoosting,0.5969777511403902,0.5081437414583165,0.30852489191788735,2.662533159710953,2.0703436011789123,0.45180892399827866,1.5944057041817359,0.7812315868206193,0.6022619578979516,0.5987950286878929,0.31421334988645766,2.2621868314855185,1.5714842131506082,0.1661256829656685,2.5666365872092523,0.7399336820466417
no_augmentation,SVR,0.6098912072060323,0.5600289412332181,0.3406577547143006,2.599933268126332,1.992612957028496,0.4701972103506994,0.8353666986507547,0.8606911843171596,0.6165861827464996,0.5852653287416933,0.32825885206025185,2.2389012184542065,1.626018805978904,0.2873420528176318,2.336822193169813,0.7531165032740376
no_augmentation,Ridge,0.17379328140913142,0.17150896374306612,-1.1785086931249822,4.725920357147745,3.5487338368097943,0.9219268009397719,7.5189532907615995,0.1407421875814968,0.42344885032824536,0.40056738898802424,-0.5804047573859148,3.434140985957216,2.6414648080038856,0.7135929502473844,6.6116132278435575,0.33740988095461993
no_augmentation,ElasticNet,0.512950417414277,0.4812605514912774,0.15517403168544397,2.943000780096295,2.3171674564149645,0.4775989034440784,2.930196071867046,0.6366618032642698,0.5680545720025499,0.5350108758150615,0.23871048968037456,2.3834655521647843,1.7900228499032402,0.14304538286649268,3.3600005650111653,0.6658949421452957
with_augmentation,RandomForest,0.5776024609387514,0.44907146876758575,0.2921432856584343,2.6938873305384443,2.0010565324864444,0.5076194633011867,1.1976804999165493,0.8187614754530947,0.5855782819504926,0.579389092945493,0.2872830271725071,2.306176313868581,1.6368899068799792,0.17078140861567673,2.769713664583306,0.7202884930693314
with_augmentation,GradientBoosting,0.6066046401645343,0.5126296326071227,0.33520278221957056,2.6106662000308214,2.0240735520175264,0.4614684655806647,0.9704620150632922,0.8470649305600569,0.5964203425521084,0.5875092982823624,0.30065458876648454,2.2844403444614474,1.5965073946620632,0.2174028420538049,2.6350236967707117,0.7298639234489145
with_augmentation,SVR,0.607974452598834,0.5091727630838491,0.3298333075417347,2.621187990920137,2.000896964508663,0.6191479192343052,-1.4550421766141872,1.0877977870459568,0.48136667281498763,0.4643753803064081,0.207009703300282,2.4325842650845995,1.8234736689101532,-0.04569568872745142,2.5691945323425442,0.7549078456177555
with_augmentation,Ridge,0.08945918846637586,0.1519093174692499,-3.8836135496798656,7.075830074992064,4.979125745262994,0.6725425198871339,8.483924665716152,0.043618137226700306,0.3786392864230818,0.35054773567755343,-1.3526990040005544,4.190030081927495,3.089716080060635,0.9793543938136813,7.572769918203947,0.24459023525305496
with_augmentation,ElasticNet,0.42476801247532914,0.4659699332743789,-0.3153564038166681,3.6722181398821627,2.896760569769219,0.6542008890771078,5.206827990299583,0.3866476242982571,0.4155132191857777,0.4677242782176463,-0.3423264050542154,3.1649220879899587,2.158963345057881,0.21437046426181192,6.456166642229131,0.3680922793125694
