test_array_index,nearest_donor_train_index,nearest_donor_similarity,nearest_acceptor_train_index,nearest_acceptor_similarity,nearest_pair_train_index,nearest_pair_similarity,pair_key,donor_scaffold,acceptor_scaffold
14,209,0.7948718070983887,39,0.75,209,0.6307692527770996,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C2C(C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC=C(C=C7)[S]CC(CCCCCCCC)CCCCCC)=C5S4)C=C(C)S6)C8=CC=C(C=C8)[S]CC(CCCCCCCC)CCCCCC)=C9F)=C9F||O=C(C1=C(C=CC=C1)C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=CC(C6(CCCCC7=CC=CC=C7)CCCCC8=CC=CC=C8)=C(C=C5C4(CCCCC9=CC=CC=C9)CCCCC%10=CC=CC=C%10)C(S%11)=C6C=C%11/C=C(C(C%12=C%13C=CC=C%12)=O)/C%13=C(C#N)/C#N,c1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6n[nH]nc56)s4)sc3c(-c3ccccc3)c3ccsc23)cc1,C=C1C(=Cc2cc3c(s2)-c2cc4c(cc2C3(CCCCc2ccccc2)CCCCc2ccccc2)-c2sc(C=C3C(=C)c5ccccc5C3=O)cc2C4(CCCCc2ccccc2)CCCCc2ccccc2)C(=O)c2ccccc21
17,19,0.7109375,22,0.9037036895751953,22,0.8073205947875977,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCC)N=C32)=C(F)C(F)=C3C(S4)=CC=C4C5=CC(S6)=C(S5)C(C6=C7C8=CC=C(SCC(CCCC)CCCCCC)S8)=C(C9=CC=C(SCC(CCCC)CCCCCC)S9)C%10=C7C%11=C(S%10)C=C(C)S%11||O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6C(C9=CC=C(C=C9)SCC(CC)CCCC)=C%10C(C(SC%11=C%12C(C%13=CC=C(C=C%13)CCCCCC)(C%14=C%11SC(/C=C%15C(C(C=CC=C%16)=C%16C/%15=C(C#N)/C#N)=O)=C%14)C%17=CC=C(C=C%17)CCCCCC)=C%12S%10)=C8C%18=CC=C(C=C%18)SCC(CCCC)CC)=C7S3,c1csc(-c2ccc(-c3ccc(-c4cc5sc6c(-c7cccs7)c7c(sc8ccsc87)c(-c7cccs7)c6c5s4)s3)c3n[nH]nc23)c1,C=C1C(=Cc2cc3c(s2)-c2sc4c(sc5c(-c6ccccc6)c6c7c(sc6c(-c6ccccc6)c54)-c4sc(C=C5C(=C)c6ccccc6C5=O)cc4C7(c4ccccc4)c4ccccc4)c2C3(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
37,115,0.4452054798603058,628,0.7669903039932251,331,0.5256064534187317,CC(SC(C1=CC(C(S1)=C(C2C=C(C)SC23)C4=CC=C(S4)CC(CC)CCCC)=C3C5=CC=C(S5)CC(CCCC)CC)=C6S7)=C6C(F)=C7C(OCC(CC)CCCC)=O||S=C(N(C/1=O)CC)SC1=C/C(C2=NSN=C32)=CC=C3C4=CC(C5(CCCCCCCC)CCCCCCCC)=C(C(C=C6C7(CCCCCCCC)CCCCCCCC)=C5C=C6C8=C7C=C(C9=CC=C(C%10=NSN=C9%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)S4,C1=CC2C(c3cccs3)=c3sc(-c4scc5ccsc45)cc3=C(c3cccs3)C2S1,O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4)c2nsnc12
101,798,0.3700787425041199,389,0.6145833134651184,651,0.35462892055511475,CC1=CC(C)=C(C2=NC3=C(S2)N=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=C([Si]6(CCCCCCCC)CCCCCCCC)C=C(C)S7)S5)S4)S3)S1||O=C(N(C(N(C/1=O)CC)=O)CC)C1=C\C(S2)=CC=C2C3=CC=C(C(C=C4)=C5C=C4C6=CC=C(S6)/C=C7C(N(C(N(C\7=O)CC)=O)CC)=O)C(C5(CCCCCCCC)CCCCCCCC)=C3,c1csc(-c2nc3sc(-c4ccc(-c5cc6c(s5)-c5sccc5[SiH2]6)s4)nc3s2)c1,O=C1NC(=O)C(=Cc2ccc(-c3ccc4c(c3)Cc3cc(-c5ccc(C=C6C(=O)NC(=O)NC6=O)s5)ccc3-4)s2)C(=O)N1
119,398,0.3093525171279907,448,0.2554347813129425,398,0.25294214487075806,CC1=CC2=C(C3=C([Si]2(CCCCCCCC)CCCCCCCC)C=C(C4=C(C=C(C5=NN(N=C45)CCCCCC)C6=CC7=C(C8=C([Si]7(CCCCCCCC)CCCCCCCC)C=C(C9=CC(F)=C(C%10=NN(N=C9%10)CCCCCC)C)S8)S6)F)S3)S1||O=C(C1=C(N(C(C1=C2C3=CC=CS3)=O)CCCCCCCCCC)C4=CC=C(S4)C(/C(C5=CC=C(C=C5)N6C7=C(C=CC=C7)C8=C6C=CC=C8)=C(C#N)\C#N)=C(C#N)\C#N)N2CCCCCCCCCC,c1cc(-c2cc3c(s2)-c2sc(-c4ccc(-c5cc6c(s5)-c5sccc5[SiH2]6)c5n[nH]nc45)cc2[SiH2]3)c2n[nH]nc2c1,C=C(C(=C)c1ccc(C2=C3C(=O)NC(c4cccs4)=C3C(=O)N2)s1)c1ccc(-n2c3ccccc3c3ccccc32)cc1
138,170,0.6725663542747498,337,0.7851239442825317,337,0.5246374607086182,CC1=CC=C(C(C2=NN(N=C2C(C3=CC=C(C4=C(C=C(S4)C5=C6C(C=CS6)=C(C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)C8=C5C=CS8)CC(CCCCCCCCCCCC)CCCCCCCCCC)S3)=C9F)CCC)=C9F)S1||O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5c6ccsc6c(-c6cccs6)c6ccsc56)s4)s3)c3n[nH]nc23)c1,O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12
148,61,0.6129032373428345,699,0.6439393758773804,699,0.5332372784614563,CC1=CC=C(S1)C2=C(C(C3=C(CC(CCCC)CC)CC(CC(CCCC)CC)=C3C4=O)=O)C4=C(C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC(Cl)=C(S9)CC(CCCC)CC)=C7S6)C=C(C)S8)C%10=CC(Cl)=C(S%10)CC(CCCC)CC)S2||CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=C2C=C(S5)/C=C6C(C7=C(C/6=C(C#N)/C#N)C=C(Cl)C7)=O)[Se]C8=CC9=C([Se]C%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC(/C=C%14\C(C%15=C(SC(Cl)=C%15)C%14=O)=C(C#N)/C#N)=C%13)C=C84)C=C1,O=C1C2=CCC=C2C(=O)c2c(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)sc(-c3cccs3)c21,C=C1C(=Cc2cc3c(s2)-c2[se]c4cc5c6c([se]c5cc4c2C3(c2ccccc2)c2ccccc2)-c2sc(C=C3C(=C)c4ccsc4C3=O)cc2C6(c2ccccc2)c2ccccc2)C(=O)C2=C1C=CC2
157,13,0.5555555820465088,9,0.6000000238418579,163,0.546093761920929,CC1=CC=C(S1)C2=C(C(F)=C(C3=NC(C4=CC(F)=C(S4)CC(CC)CC)=C(N=C23)C5=CC(F)=C(S5)CC(CC)CC)C6=CC=C(S6)C7=CC8=C(C9=C(C(C%10=CC=C(S%10)CC(CC)CC)=C8S7)C=C(C)S9)C%11=CC=C(S%11)CC(CC)CC)F||O=C(C1=CC=CC=C1C/2=C(C#N)/C#N)C2=C/C3=C(C4=CC=C(CCCCCC)C=C4)C5=C(S3)C6=C(S5)C(C7=NSN=C7C8=C9N(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC%12=C%11SC(/C=C%13C(C%14=CC=CC=C%14C\%13=C(C#N)\C#N)=O)=C%12C%15=CC=C(CCCCCC)C=C%15)=C9N6C%16=CC=C(CCCCCC)C=C%16,c1csc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(-c7cccs7)c7sccc7c(-c7cccs7)c6s5)s4)c3nc2-c2cccs2)c1,C=C1C(=Cc2sc3c(sc4c5c6nsnc6c6c7sc8c(-c9ccccc9)c(C=C9C(=C)c%10ccccc%10C9=O)sc8c7n(-c7ccccc7)c6c5n(-c5ccccc5)c34)c2-c2ccccc2)C(=O)c2ccccc21
167,0,0.4193548262119293,530,0.33112582564353943,0,0.3378024101257324,CC1=CC=C(S1)C2=CC(OCC(CCCCCC)CCCCCCCC)=C(C=C2COC(CCCCCCCC)CCCCCC)C3=CC=C(S3)C4=C(C(F)=C(C5=NSN=C45)C)F||O=C(C1=C2C(C3=O)=CC=C(C4=CC=C(S4)/C(C#N)=C/C5=CC(OCCCCCC)=C(C=C5OCCCCCC)/C=C(C6=CC=C(S6)C7=CC=C8C9=C(C(N(C8=O)CC(CC)CCCC)=O)C=CC=C79)\C#N)C2=CC=C1)N3CC(CC)CCCC,c1csc(-c2ccc(-c3ccc(-c4cccc5nsnc45)s3)cc2)c1,O=C1NC(=O)c2ccc(-c3ccc(C=Cc4ccc(C=Cc5ccc(-c6ccc7c8c(cccc68)C(=O)NC7=O)s5)cc4)s3)c3cccc1c23
176,68,0.6557376980781555,328,0.7904762029647827,68,0.7135831117630005,CCC(CCCC)CC(S1)=CC=C1C(C2=C3SC(C4=CC=C(C5=C(C(OCC(CC)CCCC)=O)C6=C(C(C(OCC(CCCCCC)CC)=O)=C(C7=CC=C(C)S7)S6)S5)S4)=C2)=C8SC(C)=CC8=C3C9=CC=C(S9)CC(CCCC)CC||O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C5(C6=CC=C(C=C6)CCCCCC)C(C=C7)=CC=C7CCCCCC)=C(C8=C5C9=C(C%10=C(C%11=C(C%10(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C(C=C(S%14)/C=C%15C(C%16=CC=CC=C%16C\%15=C(C#N)\C#N)=O)S%11)S9)S8)S4)S3,c1csc(-c2cc3sc(-c4ccc(-c5cc6c(-c7cccs7)c7sccc7c(-c7cccs7)c6s5)s4)cc3s2)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2c-4sc3c4c(sc23)-c2sc3cc(C=C5C(=C)c6ccccc6C5=O)sc3c2C4(c2ccccc2)c2ccccc2)C(=O)c2ccccc21
