selected_position,original_feature_index_zero_based,feature_name_zero_based
0,1,fd_1
1,2,fd_2
2,4,fd_4
3,14,fd_14
4,20,fd_20
5,21,fd_21
6,22,fd_22
7,24,fd_24
8,25,fd_25
9,32,fd_32
10,36,fd_36
11,40,fd_40
12,41,fd_41
13,43,fd_43
14,44,fd_44
15,46,fd_46
16,47,fd_47
17,48,fd_48
18,56,fd_56
19,62,fd_62
20,64,fd_64
21,65,fd_65
22,67,fd_67
23,69,fd_69
24,78,fd_78
25,79,fd_79
26,82,fd_82
27,84,fd_84
28,88,fd_88
29,93,fd_93
30,104,fd_104
31,107,fd_107
32,115,fd_115
33,117,fd_117
34,118,fd_118
35,119,fd_119
36,120,fd_120
37,121,fd_121
38,122,fd_122
39,125,fd_125
40,127,fd_127
41,128,fd_128
42,130,fd_130
43,131,fd_131
44,139,fd_139
45,142,fd_142
46,144,fd_144
47,145,fd_145
48,147,fd_147
49,157,fd_157
50,160,fd_160
51,162,fd_162
52,166,fd_166
53,167,fd_167
54,175,fd_175
55,177,fd_177
56,187,fd_187
57,189,fd_189
58,192,fd_192
59,194,fd_194
60,197,fd_197
61,199,fd_199
62,205,fd_205
63,208,fd_208
64,209,fd_209
65,211,fd_211
66,219,fd_219
67,221,fd_221
68,223,fd_223
69,225,fd_225
70,230,fd_230
71,237,fd_237
72,241,fd_241
73,247,fd_247
74,262,fd_262
75,263,fd_263
76,265,fd_265
77,282,fd_282
78,288,fd_288
79,293,fd_293
80,295,fd_295
81,296,fd_296
82,299,fd_299
83,302,fd_302
84,304,fd_304
85,310,fd_310
86,314,fd_314
87,315,fd_315
88,318,fd_318
89,331,fd_331
90,332,fd_332
91,333,fd_333
92,340,fd_340
93,342,fd_342
94,347,fd_347
95,349,fd_349
96,353,fd_353
97,368,fd_368
98,369,fd_369
99,372,fd_372
100,373,fd_373
101,375,fd_375
102,376,fd_376
103,379,fd_379
104,383,fd_383
105,387,fd_387
106,392,fd_392
107,396,fd_396
108,399,fd_399
109,402,fd_402
110,403,fd_403
111,405,fd_405
112,406,fd_406
113,414,fd_414
114,415,fd_415
115,419,fd_419
116,420,fd_420
117,421,fd_421
118,422,fd_422
119,428,fd_428
120,445,fd_445
121,447,fd_447
122,452,fd_452
123,454,fd_454
124,456,fd_456
125,459,fd_459
126,462,fd_462
127,465,fd_465
128,468,fd_468
129,473,fd_473
130,474,fd_474
131,480,fd_480
132,481,fd_481
133,488,fd_488
134,489,fd_489
135,494,fd_494
136,495,fd_495
137,496,fd_496
138,499,fd_499
139,501,fd_501
140,502,fd_502
141,504,fd_504
142,507,fd_507
143,511,fd_511
144,513,fd_513
145,519,fd_519
146,520,fd_520
147,527,fd_527
148,532,fd_532
149,540,fd_540
150,543,fd_543
151,544,fd_544
152,546,fd_546
153,549,fd_549
154,552,fd_552
155,554,fd_554
156,560,fd_560
157,561,fd_561
158,567,fd_567
159,570,fd_570
160,573,fd_573
161,583,fd_583
162,587,fd_587
163,592,fd_592
164,593,fd_593
165,596,fd_596
166,601,fd_601
167,604,fd_604
168,608,fd_608
169,610,fd_610
170,614,fd_614
171,629,fd_629
172,630,fd_630
173,634,fd_634
174,635,fd_635
175,636,fd_636
176,638,fd_638
177,641,fd_641
178,642,fd_642
179,643,fd_643
180,648,fd_648
181,650,fd_650
182,653,fd_653
183,654,fd_654
184,656,fd_656
185,657,fd_657
186,667,fd_667
187,671,fd_671
188,680,fd_680
189,684,fd_684
190,692,fd_692
191,695,fd_695
192,697,fd_697
193,698,fd_698
194,699,fd_699
195,701,fd_701
196,703,fd_703
197,704,fd_704
198,705,fd_705
199,709,fd_709
200,715,fd_715
201,716,fd_716
202,717,fd_717
203,719,fd_719
204,720,fd_720
205,721,fd_721
206,723,fd_723
207,724,fd_724
208,725,fd_725
209,726,fd_726
210,727,fd_727
211,730,fd_730
212,732,fd_732
213,733,fd_733
214,736,fd_736
215,739,fd_739
216,741,fd_741
217,743,fd_743
218,745,fd_745
219,746,fd_746
220,747,fd_747
221,749,fd_749
222,750,fd_750
223,751,fd_751
224,754,fd_754
225,762,fd_762
226,764,fd_764
227,768,fd_768
228,771,fd_771
229,773,fd_773
230,781,fd_781
231,788,fd_788
232,790,fd_790
233,793,fd_793
234,799,fd_799
235,801,fd_801
236,807,fd_807
237,809,fd_809
238,813,fd_813
239,816,fd_816
240,826,fd_826
241,832,fd_832
242,835,fd_835
243,837,fd_837
244,840,fd_840
245,854,fd_854
246,857,fd_857
247,859,fd_859
248,860,fd_860
249,868,fd_868
250,871,fd_871
251,872,fd_872
252,875,fd_875
253,878,fd_878
254,881,fd_881
255,882,fd_882
256,885,fd_885
257,893,fd_893
258,896,fd_896
259,902,fd_902
260,904,fd_904
261,911,fd_911
262,916,fd_916
263,922,fd_922
264,926,fd_926
265,929,fd_929
266,934,fd_934
267,935,fd_935
268,949,fd_949
269,956,fd_956
