Acceptor,SMILES
A_0,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N
A_1,ClC1=CC2=C(C(C(/C2=C(C#N)\C#N)=C\C3=C(CCCCCCCCC)C4=C(C(N(CC(CCCCCC)CCCC)C5=C6C7=NSN=C7C8=C5N(CC(CCCCCC)CCCC)C9=C8SC%10=C9SC(/C=C(C%11=O)/C(C%12=C%11C=C(Cl)C(Cl)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCC)=C6S4)S3)=O)C=C1Cl
A_2,FC1=CC2=C(C(/C(C2=O)=C/C3=C(C4=CC=C(CCCCCC)C=C4)C5=C(S3)C6=C(S5)C7=C(N6CC(CC)CCCC)C(N8CC(CC)CCCC)=C(C9=C8C%10=C(S9)C(C%11=CC=C(CCCCCC)C=C%11)=C(S%10)/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)\C#N)C%14=NSN=C7%14)=C(C#N)/C#N)C=C1F
A_3,CCCCCCC(CCCC)CC1=C(/C=C(C2=O)/C(C3=C2C=CC(F)=C3)=C([N+]#[C-])/[N+]#[C-])SC4=C1SC5=C4N(CC(CCCC)CC)C6=C5C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(/C=C(C%11=O)/C(C%12=C%11C=CC(F)=C%12)=C(C#N)\C#N)=C%10CC(CCCCCC)CCCC
A_4,FC1=CC2=C(C=C1F)C(/C(C2=O)=C/C3=C(C4=C(C5=C(C(C6=NSN=C6C(C7=C8C9=C(C(C%10=CC=C(CCCCCCCC)S%10)=C(/C=C%11/C(C(C=C(C(F)=C%12)F)=C%12C%11=O)=C(C#N)\C#N)S9)S7)=C%13N8CC(CCCC)CC)=C%13N5CC(CCCC)CC)S4)S3)C%14=CC=C(CCCCCCCC)S%14)=C(C#N)\C#N
A_5,O=C(C(/C1=C(C#N)/C#N)=C\C2=C(CCCCCCCCCCC)C3=C(C(N(CCCCCCCC)C4=C5C6=NSN=C6C7=C4N(C8=C7SC9=C8SC(/C=C(C%10=O)/C(C%11=C%10C=C(C(Cl)=C%11)Cl)=C(C#N)\C#N)=C9CCCCCCCCCCC)CCCCCCCC)=C5S3)S2)C%12=C1C=C(Cl)C(Cl)=C%12
A_6,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(CCCCCCCCCCCC)C9=C8SC%10=C9SC(/C=C%11C(C%12=C(C=C(F)C(F)=C%12)C\%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)CCCCCCCCCCCC)=C5S3
A_7,CCCCCCCCCCCC(C(SC(C1=C2C3=C(C4=C(N3CC(CCCC)CC)C5=C(C(CCCCCCCCCCC)=C(S5)/C=C6C(C(C=C(C(F)=C7)F)=C7C\6=C(C#N)\C#N)=O)S4)C8=NSN=C18)=C9N2CC(CCCC)CC)=C9S%10)=C%10/C=C%11C(C(C=C(C(F)=C%12)F)=C%12C\%11=C(C#N)/C#N)=O
A_8,CCCCC(CN1N=C2C3=C(C4=C(C5=C(N4CC(CCCC)CC)C6=C(C(CCCCCC)=C(S6)/C=C7C(C(C=C(F)C(F)=C8)=C8C\7=C(C#N)\C#N)=O)S5)C2=N1)N(CC(CCCC)CC)C9=C3SC%10=C9SC(/C=C%11C(C%12=C(C=C(F)C(F)=C%12)C\%11=C(C#N)/C#N)=O)=C%10CCCCCC)CC
A_9,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3
