Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,PCE(%),JSC(mA/cm2 ),FF,Voc
TTFQz-T1,CC1=CC=C(S1)C2=C(C(F)=C(C3=NC(C4=CC(F)=C(S4)CC(CC)CC)=C(N=C23)C5=CC(F)=C(S5)CC(CC)CC)C6=CC=C(S6)C7=CC8=C(C9=C(C(C%10=CC=C(S%10)CC(CC)CC)=C8S7)C=C(C)S9)C%11=CC=C(S%11)CC(CC)CC)F,Y5,O=C(C1=CC=CC=C1C/2=C(C#N)/C#N)C2=C/C3=C(C4=CC=C(CCCCCC)C=C4)C5=C(S3)C6=C(S5)C(C7=NSN=C7C8=C9N(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC%12=C%11SC(/C=C%13C(C%14=CC=CC=C%14C\%13=C(C#N)\C#N)=O)=C%12C%15=CC=C(CCCCCC)C=C%15)=C9N6C%16=CC=C(CCCCCC)C=C%16,13.1,21.2,0.696,0.89
TTFQx-T2,FC(C(F)=C(C1=NC(C2=CC(F)=C(S2)CC(CCCC)CC)=C(N=C31)C4=CC(F)=C(S4)CC(CCCC)CC)C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC=C(S9)CC(CCCC)CCCC)=C7S6)C=C(S8)[*])C%10=CC=C(S%10)CC(CCCC)CCCC)=C3C%11=CC=CS%11,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,7.22,13.75,0.561,0.94
TTFQx-T1,FC(C(F)=C(C1=NC(C2=CC(F)=C(S2)CC(CCCC)CC)=C(N=C31)C4=CC(F)=C(S4)CC(CCCC)CC)C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC=C(S9)CC(CCCC)CC)=C7S6)C=C(C)S8)C%10=CC=C(S%10)CC(CCCC)CC)=C3C%11=CC=C(C)S%11,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,10.52,16.88,0.692,0.9
TP,CC(SC1=C(C2=C3SC(C4=CC5C(C=C(C6=C7C(C(N(CC(CCCCCCCC)CCCCCCCCCC)C7=O)=O)=C(C8=CC(SC(C(SC9=C(C%10=C%11SC(C%12=C%13C(C(F)=C(C(OCC(CC)CCCC)=O)S%13)=C(C)S%12)=C%10)C%14=CC=C(CC(CCCC)CC)S%14)=CC9=C%11C%15=CC=C(CC(CCCC)CC)S%15)=C%16)C%16S8)N6CCCCCCCC)S5)S4)=C2)C%17=CC=C(CC(CCCC)CC)S%17)=CC1=C3C%18=CC=C(CC(CCCC)CC)S%18,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,8.18,15.31,0.6,0.89
TP,CC(SC1=C(C2=C3SC(C4=CC5C(C=C(C6=C7C(C(N(CC(CCCCCCCC)CCCCCCCCCC)C7=O)=O)=C(C8=CC(SC(C(SC9=C(C%10=C%11SC(C%12=C%13C(C(F)=C(C(OCC(CC)CCCC)=O)S%13)=C(C)S%12)=C%10)C%14=CC=C(CC(CCCC)CC)S%14)=CC9=C%11C%15=CC=C(CC(CCCC)CC)S%15)=C%16)C%16S8)N6CCCCCCCC)S5)S4)=C2)C%17=CC=C(CC(CCCC)CC)S%17)=CC1=C3C%18=CC=C(CC(CCCC)CC)S%18,IEICO-4F,FC1=CC2=C(C(/C(C2=O)=C/C3=CC(OCC(CC)CCCC)=C(S3)C4=CC5=C(S4)C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(S%10)C%11=C(OCC(CC)CCCC)C=C(S%11)/C=C(/C(C%12=C%13C=C(F)C(F)=C%12)=C(C#N)\C#N)C%13=O)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N)C=C1F,8.73,21.44,0.55,0.74
TE2-BTDF-(T2),O=C(OC1=CC=C(CCCCCC)C=C1)C2=C(C)SC(C(S3)=CC(C(OC4=CC=C(CCCCCC)C=C4)=O)=C3C(S5)=CC=C5C(C6=NSN=C6C(C(S7)=CC=C7C)=C8F)=C8F)=C2,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,2.3,4.4,0.55,1.0
TE2-BTDF-(T2),O=C(OC1=CC=C(CCCCCC)C=C1)C2=C(C)SC(C(S3)=CC(C(OC4=CC=C(CCCCCC)C=C4)=O)=C3C(S5)=CC=C5C(C6=NSN=C6C(C(S7)=CC=C7C)=C8F)=C8F)=C2,ITIC-4F,c1(cc2c(cc1F)C(=C(C#N)C#N)/C(=C\c1sc3c(c1)sc1c3C(c3c1cc1c(c3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(s3)cc(s1)/C=C/1\C(=C(C#N)C#N)c3c(C1=O)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=O)F,6.69,11.1,0.7,0.86
T2-BTDF-(TE2),CC(SC(C1=C(F)C(F)=C(C2=CC(C(OC3=CC=C(CCCCCC)C=C3)=O)=C(C4=CC=C(C5=CC=C(C)S5)S4)S2)C6=NSN=C16)=C7)=C7C(OC8=CC=C(CCCCCC)C=C8)=O,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,2.93,5.8,0.52,0.98
T2-BTDF-(TE2),CC(SC(C1=C(F)C(F)=C(C2=CC(C(OC3=CC=C(CCCCCC)C=C3)=O)=C(C4=CC=C(C5=CC=C(C)S5)S4)S2)C6=NSN=C16)=C7)=C7C(OC8=CC=C(CCCCCC)C=C8)=O,ITIC-4F,c1(cc2c(cc1F)C(=C(C#N)C#N)/C(=C\c1sc3c(c1)sc1c3C(c3c1cc1c(c3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(s3)cc(s1)/C=C/1\C(=C(C#N)C#N)c3c(C1=O)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=O)F,3.61,6.7,0.68,0.8
PzNDT-TT-BDD,CC1=C(C2=C(S1)C=C(C3=C(C4=C(S3)C5=CC6=C(C(CCCCCCCC)=C(S6)C7=CC8=C(C9=CC=C(SCC(CC)CCCC)S9)C=C%10C%11=C(C=C(S%11)C)C(C%12=CC=C(SCC(CC)CCCC)S%12)=CC%10=C8S7)S5)C(C%13=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C%13C4=O)=O)S2)CCCCCCCC,IDIC,N#C/C(C#N)=C(C1=CC=CC=C1C2=O)/C2=C/C3=CC4=C(C5=C(C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8/C(C9=CC=CC=C9C8=O)=C(C#N)/C#N)=C7)=C5)C4(CCCCCC)CCCCCC)S3,8.12,15.15,0.597,0.907
PzNDT-T-BDD,CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)S3)C=C4C5=C(C=C(S5)C6=C(C=C(S6)C7=C(C8=C(S7)C9=CC(CCCCCCCC)=C([*])S9)C(C%10=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%10C8=O)=O)CCCCCCCC)C(C%11=CC=C(SCC(CC)CCCC)S%11)=CC4=C2S1,IDIC,N#C/C(C#N)=C(C1=CC=CC=C1C2=O)/C2=C/C3=CC4=C(C5=C(C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8/C(C9=CC=CC=C9C8=O)=C(C#N)/C#N)=C7)=C5)C4(CCCCCC)CCCCCC)S3,9.72,15.65,0.711,0.875
PzNDTP-T-BDD,CC1=C(CCCCCCCC)C=C(C2=C(C(C3=C(CC(CCCC)CC)SC(CC(C)CCCC)=C34)=O)C(C4=O)=C(C5=CC(CCCCCCCC)=C(S5)C6=CC7=C(S6)C8=C(C=C7C9=CC=C(SCC(CC)CCCC)C=C9)C%10=C(C=C(C)S%10)C(C%11=CC=C(SCC(CCCC)C)C=C%11)=C8)S2)S1,IDIC,N#C/C(C#N)=C(C1=CC=CC=C1C2=O)/C2=C/C3=CC4=C(C5=C(C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8/C(C9=CC=CC=C9C8=O)=C(C#N)/C#N)=C7)=C5)C4(CCCCCC)CCCCCC)S3,4.62,10.63,0.469,0.925
PY2,CC(S1)=CC=C1C(C2=C(C(C3=CC=C(S3)C)=C4S5)C=C(C)S2)=C4C=C5C(S6)=CC=C6C(C7=NN(N=C87)C)=CC=C8C9=CC=C(C)S9,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,7.39,14.54,0.66,0.77
PY1,CC1=CC2=C(C3=C(C(C4=CC=C(S4)C)=C2S1)C=C(C5=CC6=C(S5)C7=C(C=C(S7)C)C8=NN(C)N=C68)S3)C9=CC=C(S9)C,ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,12.49,18.46,0.72,0.94
PvBDTTAZ,CC1=CC=C(C(C2=NN(N=C2C(C3=CC=C(C4=C(C=C(S4)C5=C6C(C=CS6)=C(C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)C8=C5C=CS8)CC(CCCCCCCCCCCC)CCCCCCCCCC)S3)=C9F)CCC)=C9F)S1,O-IDTBR,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,11.6,16.26,0.636,1.08
PTZ-DO,c1csc2c1c(c1c(c2c2cc(c(s2)CCCCCCCC)CCCCCCCC)cc(s1)c1sc(c(c1)CCCCCC)c1sc2c(n1)sc(n2)c1sccc1CCCCCC)c1cc(c(s1)CCCCCCCC)CCCCCCCC,pO-ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1c(C3(c2ccc(cc2)OCCCCCC)c2ccc(cc2)OCCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,9.03,14.56,0.674,0.92
PTZ-DO,c1csc2c1c(c1c(c2c2cc(c(s2)CCCCCCCC)CCCCCCCC)cc(s1)c1sc(c(c1)CCCCCC)c1sc2c(n1)sc(n2)c1sccc1CCCCCC)c1cc(c(s1)CCCCCCCC)CCCCCCCC,mO-ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1cccc(c1)OCCCCCC)c1cc(ccc1)OCCCCCC)c1c(C3(c2cc(ccc2)OCCCCCC)c2cccc(c2)OCCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,9.28,15.18,0.664,0.92
PTZ-DO,c1csc2c1c(c1c(c2c2cc(c(s2)CCCCCCCC)CCCCCCCC)cc(s1)c1sc(c(c1)CCCCCC)c1sc2c(n1)sc(n2)c1sccc1CCCCCC)c1cc(c(s1)CCCCCCCC)CCCCCCCC,FpO-ITIC,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(c(c1)F)OCCCCCC)c1cc(c(cc1)OCCCCCC)F)c1c(C3(c2cc(c(cc2)OCCCCCC)F)c2ccc(c(c2)F)OCCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,6.69,12.55,0.606,0.88
