Donor,SMILES
D_0,FC(C=C1C(C2=C3SC=C2)=C4SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(S6)C8=C(C=C(S8)C9=CC(CC(CCCCCC)CCCC)=C(S9)C)C%10=NSN=C7%10)S5)=CC4=C3C%11=CC(F)=C(S%11)CC(CCCC)CC)=C(S1)CC(CC)CCCC
D_1,O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(C5=CC(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C(SC=C7)C7=C8C9=CC(F)=C(CC(CC)CCCC)S9)=C8S5)S4)SC(C%10=CC=CS%10)=C31)=O
D_2,FC1=C(F)C=C(N=C(OCC(CCCCCC)CCCCCCCC)C=N2)C2=C1C3=CC=CS3
D_3,FC(C=C(C1=C2SC=CC2=C(C3=CC(F)=C(CC(CCCC)CC)S3)C4=C1C=C(C5=CC=C(C6=C(C(C(C7=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C78)=O)=C(C9=CC=CC9)S6)C8=O)S5)S4)S%10)=C%10CC(CC)CCCC
D_4,CC(C(F)=C(C(C1=CC=C(S1)C)=C2N=C3[Mg])F)=C2N=C3OCC(CCCCCC)CCCCCCCC
D_5,CC1=CC(B(N2CC(CCCCCCCC)CCCCCC)C3=CC=CC=C3)=C(S1)C(C=C4N(B5C6=CC=CC=C6)CC(CCCCCC)CCCCCCCC)=C2C=C4C(S7)=C5C=C7C8=CC=C(C9=C%10C(C(C%11=C(SC(CC(CCCC)CC)C%11C%10=O)CC(CC)CCCC)=O)=C(S9)C%12=CC=C(C)S%12)S8
D_6,[F]C1=C(CC)SC(C2=C3C(C=C(C)C3)C(C4=CC([F])=C(S4)CC)=C5SC(C6=CC=C(S6)C7=C(C(C8=C(SC(CC)=C8C9=O)CC)=O)C9=C(C%10=CC=C(S%10)C)S7)=CC25)=C1
D_7,CC1=CC=C(S1)C2=C3C(C(N(C3=O)CCCCCCCC)=O)=C(C4=NN(N=C24)CCC(CC)CCCC)C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC(F)=C(C(F)=C9)CC(CC)CCCC)=C7S6)C=C(C)S8)C%10=CC(F)=C(C(F)=C%10)CC(CC)CCCC
D_8,CC1=CC=C(S1)C2=C(C(C3=C(CC(CCCC)CC)CC(CC(CCCC)CC)=C3C4=O)=O)C4=C(C5=CC=C(S5)C6=CC7=C(C8=C(C(C9=CC(Cl)=C(S9)CC(CCCC)CC)=C7S6)C=C(C)S8)C%10=CC(Cl)=C(S%10)CC(CCCC)CC)S2
D_9,S=C(N(C/1=O)CCCC)SC1=C/C(S2)=CC=C2C(S3)=C(CCCCCC)C=C3C(S4)=C(CCCCCC)C=C4C5=CC(C(S5)=C(C6=C7SC(C8=CC(CCCCCC)=C(S8)C9=CC(CCCCCC)=C(C%10=CC=C(S%10)/C=C%11SC(N(CCCC)C\%11=O)=S)S9)=C6)C%12=CC=C(C=C%12)SCC(CCCC)CC)=C7C(C=C%13)=CC=C%13SCC(CCCC)CC
D_10,O=C(C1=C(SC(C2=CC=C(S2)C3=CC(C(C4=CC(F)=C(S4)SCCCCCCCC)=C5SC(C)=CC5=C6C7=CC(F)=C(S7)SCCCCCCCC)=C6S3)=C18)C9=CC=C(S9)C)C%10=C(SC(CCCCCCCC)=C%10C8=O)CCCCCCCC
D_11,CC(S1)=CC=C1C(C(C(C(C(S2)=CC=C2C3=CC4=C(C5=CC(Cl)=C(CC(CCCC)CC)S5)C6=C(C=C(C)S6)C(C7=CC(Cl)=C(CC(CC)CCCC)C7)=C4S3)=C8C9=O)=N%10)=NN%10CCC(CCCC)CC)=C8C(N9CCCCCCCC)=O
D_12,CC1=CC(C(C2=CC(F)=C(S2)CC(CC)CCCC)=C3SC(C4=CC=C(S4)C5=C(C(C6=C(SC(CC(CCCC)CC)=C6C7=O)CC(CC)CCCC)=O)C7=C(C8=CC=C(S8)C)S5)=CC3=C9C%10=CC(F)=C(S%10)CC(CCCC)CC)=C9S1
D_13,CC(SC1=C(C2=C3SC(C4=CC=C(C)S4)=C2)C5=CC(F)=C(S5)CC(CCCC)CC)=CC1=C3C6=CC(F)=C(S6)CC(CC)CCCC.CC(OCC)=O
D_14,[Cl]C1=C(CC)SC(C2=C3C(C=C(C)C3)C(C4=CC([Cl])=C(S4)CC)=C5SC(C6=CC=C(S6)C7=C(C(C8=C(SC(CC)=C8C9=O)CC)=O)C9=C(C%10=CC=C(S%10)C)S7)=CC25)=C1
D_15,FC(C(F)=C(C1=NC(C2=CC=C(C(OCCCCCCCC)=C2)OCCCCCCCC)=C(N=C31)C4=CC=C(C(OCCCCCCCC)=C4)OCCCCCCCC)C)=C3C(S5)=CC=C5C(C=C6)=CC=C6C7=CC=C(C)S7
D_16,CC(S1)=CC=C1C(C(C(C(C(S2)=CC=C2C3=CC4=C(C5=CC(F)=C(CC(CCCC)CC)S5)C6=C(C=C(C)S6)C(C7=CC(F)=C(CC(CC)CCCC)C7)=C4S3)=C8C9=O)=N%10)=NN%10CCC(CCCC)CC)=C8C(N9CCCCCCCC)=O
D_17,O=C(C1=C(CCC(CCCC)CC)SC(CCC(CC)CCCC)=C1C2=O)C(C2=C(C3)C(C4)=CC=C4C5=CC6=C(C(C7=CC=C(CCC(CCCC)CC)S7)=C8C=CSC8=C6C9=CC=C(CCC(CCCC)CC)S9)S5)=C3C%10=CC=CS%10
D_18,CC1=CC(C(C2=CC(Cl)=C(CC)S2)=C(C(C)=C3C4=CC(Cl)=C(S4)CC)SCC5=C(CCCCCC)C6=C(C=C(S6)C7=C(C(F)=C(C8=NN(N=C78)CC(CCCCCC)CCCCCCCC)C9=CC%10=C(S9)C(CCCCCC)=C(C)S%10)F)S5)=C3S1
D_19,FC1=C(C(OCC(CCCC)CC)=O)SC2=CSC(C3=CC4=C(C5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C4S3)C=CS5)C7=CC=C(CC(CC)CCCC)S7)=C12
D_20,CC1=CC(F)=C(S1)C2=C(F)C=C(C3=C(CC(CCCCCCCC)CCCCCC)C=C(C4=CC(CC(CCCCCC)CCCCCCCC)=C(S4)C)S3)S2
D_21,CC(S1)=CC=C1C(C2=NN(CC(CCCCCCCC)CCCCCCCC)N=C32)=C(F)C(F)=C3C4=CC=C(S4)C5=CC(C(C6=CC(CCCCCCCC)=C(S6)Cl)=C7SC(C)=CC7=C8C9=CC(CCCCCCCC)=C(S9)Cl)=C8S5
D_22,O=C(C1=C(SC(CCCCCCCC)=C12)CCCCCCCC)C3=C(SC(C4=CC=C(C)S4)=C3C2=O)C(S5)=CC=C5C6=CC7C(C8=CC(F)=C(CCCCCCCC)C8)C9C(C=C(S9)C)C(C%10=CC(F)=C(S%10)CCCCCCCC)=C7S6
D_23,CC1=CC(C(S1)=C(C2=C3SC(C(S4)=CC=C4C5=C6C(C(C7=C(SC(CCCCCCCC)=C7C6=O)CCCCCCCC)=O)=C(S5)C8=CC=C(C)S8)=C2)C9=CC=C(S9)CC)=C3C%10=CC=C(S%10)CC
