array_index,y_true,y_pred,residual_pred_minus_true,absolute_error,squared_error,relative_error_percent,source,source_row,donor_smiles,acceptor_smiles,experimental_PCE,pair_key,donor_fp_hash,acceptor_fp_hash,pair_fp_hash,legacy_sequence_hash,role_aware_sequence_hash,pair_fp_group_id,legacy_sequence_group_id,role_aware_sequence_group_id,safe_any_encoding_group_id,prediction_sd_across_model_seeds,branch
1,1.2400000095367432,3.1133905672790982,1.873390557742355,1.873390557742355,3.509592181838212,151.07988252695603,Gao,1,,,1.24,Gao_0001,8e2c74235925f35938df5fd53afb7dd4249fdbc0860494df9e1e5d7079af21ef,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,f24724ae874376042bfaaf4ccdf7770e51d2c09dc26f5e646db1528ce2c9b980,162611000c73392a34641ca68831d35e4a8def580e60469aaf6cbe0ea6dca16f,b0490166a65e9ccad667bb75d9a20a68f0dd1bd41fef7d2c9d24e27707127753,1141,112,810,682,0.613706499887655,gao_only
3,2.0999999046325684,2.103501566565863,0.0035016619332948,0.0035016619332948,1.2261636295086014e-05,0.1667458139198104,Gao,3,,,2.1,Gao_0003,af9d145acd5ddab33d6c9b614d07abc41bd22ba261a87131a03b2ebe187ea8bf,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,ab8db180121a5c084069499f727ce871a0b87fbb9fd651379fe5f15371508a33,c2d3f08546c7c299bf4e61db1b9e5671e74810ffbb7419b7ef89f20916c1fda1,fde94584fb4768a1861a1b0212c2183e94554b333b42e437f479e5f6cd9a8f13,799,895,1185,684,0.4163839012906603,gao_only
4,2.700000047683716,2.103501566565863,-0.5964984811178526,0.5964984811178526,0.3558104379759052,22.09253594753002,Gao,4,,,2.7,Gao_0004,af9d145acd5ddab33d6c9b614d07abc41bd22ba261a87131a03b2ebe187ea8bf,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,ab8db180121a5c084069499f727ce871a0b87fbb9fd651379fe5f15371508a33,c2d3f08546c7c299bf4e61db1b9e5671e74810ffbb7419b7ef89f20916c1fda1,fde94584fb4768a1861a1b0212c2183e94554b333b42e437f479e5f6cd9a8f13,799,895,1185,684,0.4163839012906603,gao_only
14,2.400000095367432,2.4082754626132474,0.0082753672458153,0.0082753672458153,6.848170305311346e-05,0.3448069548742419,Gao,14,,,2.4,Gao_0014,c2556d93b1549bc7fdb40cc0d6d512df479a2da1ce193bb799446ddb7d7c57b7,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,e4626df64145485423f176867f544fe11cbefa75a5a5354bf786fe4ca636df51,1d1649c1fcb03e52b25836ad14ed7c57b02aa74be7c44f320624ab837659c761,665bcd7af5683f739724983dd82c6090143627885cb5d0798b6c1769cc1b2eff,1080,143,463,693,0.5581926058849962,gao_only
26,3.609999895095825,3.099413357158699,-0.5105865379371264,0.5105865379371264,0.2606986127226206,14.143671822006333,Gao,26,,,3.61,Gao_0026,569cc5045237e0e2e7a067d1a46628a71d248aca2842abf513f87213e2e21a5d,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,f62e25d2999dca45e84cbe58d07a2f43504ffac45b3ca3ed2b3bc79c9a206050,c96cb3bef06cc8f4a03ebdd85a6200bdbb2cff928d510f727a59a32d7cba8652,d008d2f1bb5f2add0107bf563d991b6f76158ac8e878bdc837a6148aa6e64692,1151,924,950,705,0.4107749155485536,gao_only
29,3.680000066757202,2.68513822555542,-0.9948618412017822,0.9948618412017822,0.9897500830794002,27.034288672675206,Gao,29,,,3.68,Gao_0029,97b5eb5d93249fc070b45dd673098a2665e7ed2fdbd9c94a4630e497ac69f6e3,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,74ea2331137036730da1b093c8f126abd950e6e978153bb4c8138d885f8c7209,f4facbe3579ef1218fbedbe7c72dc50ee2c80f76d6e3d7a1be1e633ef19b8f8a,468d84def8e5613d8fe86dc7430feccdda8e29007de35fe370c8eef2cc15daf9,530,1140,312,708,0.4110822123063177,gao_only
31,2.0899999141693115,2.384454619766462,0.2944547055971505,0.2944547055971505,0.0867035736483045,14.088742473187327,Gao,31,,,2.09,Gao_0031,44c07647e56ce0b1829aec9741ebe0c32b803a6f5be31ba5d3a3c9a5b73a2b74,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,94ce84d77364f7496f28d0bc8f8805ae1aea4fe1ef6e7e141a4e717ce5526c37,6996ebb610bb22b5dea9eca1441efff41ce1d704d2ca2f8f53a4fadc35592399,9d8f415d5e6107810e2094e42c2f4f5e7d4b527bc21eba3ca8fe346b39133c08,681,511,718,710,0.8280070422680604,gao_only
32,4.260000228881836,4.189472540770427,-0.0705276881114089,0.0705276881114089,0.0049741547903401,1.6555794441804776,Gao,32,,,4.26,Gao_0032,a21845df9ee8016166b985ba8391c9534a5a6c1685306f54c101b503e0d31060,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,2b9a15cd5bad00c0c73330bfd67ab2ae64ed06c4c9c12b4b5ad46f182a8dbb6b,50209e6369ad8b2eea7c03a990fb793827ff8440a336bfbdb3544e6f8629d3f9,d560dbe454da193686ee7fba87929e364c9f2af83667de743a53c03b6b644967,189,385,980,711,0.4745749923675434,gao_only
33,2.2300000190734863,2.5454315619893597,0.3154315429158729,0.3154315429158729,0.0994970582662882,14.14491211739664,Gao,33,,,2.23,Gao_0033,f23be6c4e45696556a096cac087405d43104d173bf1bde0a61bfc292d7c39924,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,d642926748379632af907ec70ae44a6d32659c4c07913c5b2ca1ca5503ecc30f,e35ee5eeea1eed3d960e361ecd80fc3674e9905b77034711b0779d17981b5417,4165779d95192e8cbb24d3557cab94850fc779443bce1d1d5f9d02062041fa75,1017,1048,285,712,0.7826666378285624,gao_only
34,2.430000066757202,3.341872022883727,0.9118719561265248,0.9118719561265248,0.8315104643700146,37.52559387141927,Gao,34,,,2.43,Gao_0034,21f2b072ddf80509f7a26c16e9d7b746fc759cce061694263ef4479c5eaf50f4,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,69ad7b17e063e2363cfe28b5490d065f8a1fab768fcb3492e93fb6443d37e361,5a30aa78df0ffb1ef729407cb0d99277ed298cb644e19497e5d59b9c9f490269,fb289fe79284d30ffc11a4df4e960fd6e22a123bb44694de0e36519841373f2d,477,426,1169,713,0.5045359408236375,gao_only
36,1.7100000381469729,3.3245685667094618,1.614568528562489,1.614568528562489,2.6068315334244403,94.41921009031688,Gao,36,,,1.71,Gao_0036,d8a863957d32709ef2d86480befa75941b875dfdd9986d4456f0dae8d46d84af,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,4cb292ca080cf542cb251fe077107de0013a11a02dc9e83ab983f3ac2c8a9fae,57b8d5a98fa5b3943f2969586a2b02d0012e73e9951b784e59b6e6ebe0ad1213,de79c38459743d3b439746657aa910cd1fac1301ef7f3400404fded6a9f3ab70,355,418,1034,715,0.467312193476483,gao_only
41,1.0399999618530271,1.4225492176443044,0.3825492557912773,0.3825492557912773,0.1463439331064601,36.78358363683663,Gao,41,,,1.04,Gao_0041,79418b87387c597467e864eba74f6cd9dff6050c031f24de3b21ff4b25ea0762,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,2fd462e1db765980d4ee4a73d1e84eb7aa46dbf242af10b345fbdc461ca2c110,6ea9bb16f6b8b0926db7a9f18372cc90275bad35611405d8c6b164775cc30153,da49efb53f1b0f9827f4c228ae19a9323c11f934ffe7371392fea32ce4c7ce37,214,536,1005,720,0.7883690462699947,gao_only
46,9.800000190734863,3.897370411617921,-5.902629779116943,5.902629779116943,34.84103830931813,60.23091494117948,Gao,46,,,9.8,Gao_0046,4cf1b73be53f6aacf715b887bdabad991622ff5819d46003ed520ab04cb926b0,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,8aad78d982e8433f12072628b546d4fa2cbb7d67bf7545e4694c209645e61872,eae0aab4d4a2e4628c5e4017fc567a26ef5771095d6792b00efb10a989ae74cf,c1b9c499b92a5fb7d7f2ec2d60d3e1870c9ff3c557c6a998c20db0a7efaf010c,631,1082,895,725,0.471023278097288,gao_only
48,9.050000190734863,5.281614898455025,-3.768385292279838,3.768385292279838,14.200727711071,41.63961561169696,Gao,48,,,9.05,Gao_0048,8dad7c7fc9d04a7022e4f0481b8d958a52d567d442560c38a2ebcd60aefacffd,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,85e69d48d1806e29aab1dd2ea118c2f9375d11027016c6ded0e50b38b1a9ba19,7b4b818002b2d763415b6748985ebcac76849b5db4b3c038c38730ff9ded3b23,4d528d0928cc702bb8db6ba4fbd2a28bc18911fa3acf5c4ebf0b1e8366ed00c0,610,591,341,727,0.8279553920831723,gao_only
49,6.369999885559082,5.4856948522057865,-0.8843050333532956,0.8843050333532956,0.7819953920139732,13.882339862486228,Gao,49,,,6.37,Gao_0049,ed341b96b55d4c09d46feba8738fa5cf9982a99c8f9826869550247c01874351,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,18eb26f113eae2aa0f78e5ff178509e5a9cd493b2e360af09af4c7c73ba9b9b6,86bcc9f28bc6f76240bafe14dc707330457ba37cc2472957a50f08ff978d4e75,6005c4e7c2efc5ada4374187877f6a4d261404a98ba70881393fdce80c53d743,118,634,430,728,0.866956441531489,gao_only
61,4.639999866485596,4.177724099395299,-0.462275767090297,0.462275767090297,0.2136988848389225,9.962840094657835,Gao,61,,,4.64,Gao_0061,74e70aed8722003457fb8860b788f537e5df6894264b66d3f4fa15d9d0d7ee17,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,da07b4bd2f4938175e3f7e45b4bc4f03fb41ac4c7986b05a227a2effdff9126d,020fff424ab1e7e552299b0ff11bfeac4b5a1d00dbac22a498dce46bc31cac30,b292250e7d48199212c4b764a4c323451a6a62d6576b86a234654bdfa0a3ce2c,1032,10,825,740,0.4776515882219041,gao_only
64,4.300000190734863,2.96439792024027,-1.3356022704945931,1.3356022704945931,1.7838334249503125,31.06051654072929,Gao,64,,,4.3,Gao_0064,8aa543d125c45966628245005e58dc49406f704a9519d66a52b9fd9ed0389336,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,864bbfc1b24e4fad1b07134ac1665917717e4a4249b44b2ee1e83b8002a81775,757769b7ac7a0a1887462f4c44831b1c2ecac724d572db8f0cee848a28a49cdc,16e3a59ce8f0ae402107e1727d3d3327c834753dd83db93219f86bd1e284ba35,615,566,101,743,0.4345743259749571,gao_only
84,1.2599999904632568,2.876707394524376,1.6167074040611191,1.6167074040611191,2.613742830346043,128.31011240458133,Gao,84,,,1.26,Gao_0084,e80bd24aee29a5ba8e8df20720f80b347ea216ea981000aaefa02a25a9275d14,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,6979809849b6c58b4e652b9e9f08289130909780d72a37c7e997be4dd0dda405,9a4d11e8d9c7c4811ea521dc95e22cb44fa6a5eabeebed3b622987a4302075fa,811b98a885ffbabb172bde0aa1127a382fe15452294759268c92f4359d4f979d,475,723,584,763,0.7756108875006684,gao_only
85,0.9700000286102296,1.358505398920267,0.3885053703100373,0.3885053703100373,0.1509364227597392,40.05209885062266,Gao,85,,,0.97,Gao_0085,471ad3d43fdf26456b14895f23221eca11e905d639d266f968f6712e164eb052,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,b71ba03471698e3d21656b66381bfe04e598b2ec8d6083793bd8963c47f2feb3,84548fb98258a8df4bb8226f884e2eefd860394539ef42af0b4c3ec3d00b6998,f03f8366fe2583eb2e5c887900d4715acde6535f6e77b58e345f0890573cb3fd,865,624,1122,764,0.7234475049424428,gao_only
89,2.0299999713897705,3.832098172442748,1.8020982010529771,1.8020982010529771,3.247557926238377,88.77331164784363,Gao,89,,,2.03,Gao_0089,e92beba2fad0ebc223a6d1357b0f7ba8c9daa318add557f3997a8479303c172e,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,3045ae3759fb7f9c57c1fd4fcfeb877113ef4ef0035025a374aff45636dd2ffe,ee38e10e92ff96979cb608d0b433468921ea25baf243b0e3165f3d8219871599,b6c3b90ef2ab17dd3432e05f6c9702e8fb940c6ad50a7ce8519700fb582ac68c,216,1104,845,768,0.4897616272446053,gao_only
90,1.9800000190734863,3.832098172442748,1.852098153369261,1.852098153369261,3.4302675697138287,93.54030987514462,Gao,90,,,1.98,Gao_0090,e92beba2fad0ebc223a6d1357b0f7ba8c9daa318add557f3997a8479303c172e,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,3045ae3759fb7f9c57c1fd4fcfeb877113ef4ef0035025a374aff45636dd2ffe,ee38e10e92ff96979cb608d0b433468921ea25baf243b0e3165f3d8219871599,b6c3b90ef2ab17dd3432e05f6c9702e8fb940c6ad50a7ce8519700fb582ac68c,216,1104,845,768,0.4897616272446053,gao_only
93,9.729999542236328,5.89507016096965,-3.8349293812666794,3.8349293812666794,14.70668335930243,39.413459010145694,Gao,93,,,9.73,Gao_0093,89017adb7458f7704510e8c1187f5a9dee1006af8e444c3dc56f01c1d0360cda,0cc00e1ba2d95fe8288dc072edf395ee6fc3678daa4e12f6703c7be7d2c5a409,5da2f8159f3f8892defae7d713a8fb374c40e0b169379bc360e672bfc11b5a7b,b5c98d1244ce591777ea9e2bc91158719cf534f67883d1b52200839dc1343dd1,cdb39ba9af41cbcb17ba1614cd461f7d1f9c896de2fbbe2a6e157cfddbdab53d,420,822,945,771,0.6145147527180672,gao_only
98,3.3399999141693115,1.908408783449985,-1.4315911307193263,1.4315911307193263,2.04945316555424,42.8620110032361,Gao,98,,,3.34,Gao_0098,bc8ca8ff8287ffd6bdf836e1f0f300f341cc107009d23617153c8c590a889b68,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,976c76d44abc671192739c0ec16060b5dec7eefa6c81a371cd71d6f8aefc3afe,82a56eeacc2ffbebd5326d13e5e7b9022276020edc07a2547d357e4c51f4a8f5,599ad234b9df2aee1c0e6027842b8aaf2b5f138b83b2b9fffdf295c4a482aa98,693,621,403,776,0.6467208815820445,gao_only
114,1.7300000190734863,0.9028046807587736,-0.8271953383147126,0.8271953383147126,0.6842521277295919,47.81475891299255,Gao,114,,,1.73,Gao_0114,e7766cd6847339c7f8a0632070fd053b8990ac4a5c8333fa2d5c50fbc891650d,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,c13979f4d03a8594a13e2cffc73ba1a89a7616a61acd89ca205551cd4cbdfcd9,0f7fe77fa42f33ee248fe461fad0d121db44aa47fca47c391989f22da75e713d,590c544865d81238fdd8d34e68f80231e7ec3fbfbdf060b4075b92f092317367,921,76,401,790,0.487603388402904,gao_only
117,4.989999771118164,4.279945382977476,-0.710054388140688,0.710054388140688,0.5041772341178468,14.22954750920917,Gao,117,,,4.99,Gao_0117,cedd22eb497e9596a8740ae3b09435f314213e7320a098b5a402052044dc8f75,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,a270a519300ac7c3b49fab10a71df0fd5cf9776c45030b1919ff1099ab1467ea,45ff350f6138d28ccc55718872b956d5b52ad40c6702f1c51fd30fce8254ff63,eff5f15c4215b6f211c56b6f748542a290ebb928ec0574a6e86d4baeb35bee52,756,334,1121,793,0.4680097047170888,gao_only
127,3.0899999141693115,3.572372264201098,0.4823723500317864,0.4823723500317864,0.2326830840751883,15.61075609807786,Gao,127,,,3.09,Gao_0127,97643ed1bd7499d9bf23c7881ee205d1da929fcddb1d09fcfa1657384ec60a22,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,17c953b306b21e1e939635c97bf58c5df39cdbd4b67fe0279b0354ffea006a1e,a223e3492703b719838449ec09d0cb7c5103935b343929af8b406de54feee754,9cc88e8a5c237c668c5ad1982dcf122c14e09cf9496dc76388c2f736cf7c0255,112,759,713,803,0.4368041231344755,gao_only
131,0.6899999976158142,1.2698316720895249,0.5798316744737106,0.5798316744737106,0.3362047707229871,84.03357630104743,Gao,131,,,0.69,Gao_0131,02c51c556a74cc0ca4a7a250804fdd86a165a0494d730455efaccb0d5a8e5897,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,c317df8784919a812ceed7c528247bc7ccfc8750f222edbe6cc0cf8f8041b26d,13f36a792c5587a9aebfa7e3d56e98f5c04a7670b57d7b1990558663eb310517,81f5c74d0efc5bbcca423423e8e65a819ac12eb818a53d9e32d39011c70619f6,930,95,589,806,0.8967213893693661,gao_only
132,5.210000038146973,4.337970884719698,-0.8720291534272748,0.8720291534272748,0.7604348444270896,16.737603590064985,Gao,132,,,5.21,Gao_0132,a59954e11d006577fe6b0aceeff35fd90a19c1786b8eacbd7135c968ab7854da,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,9eaaa77166ac47be1b858c576bc1608cd40582a661c2658300e9b921ba77e0ca,e159e95ef813647d7afc5d5bd7c99f78bdad16a492a0cb7da76e7d586a225a68,c296c84440065b01a62b228e0af12cc464a72f8c781573f7979939abd6165417,725,1038,896,807,0.4903746230831142,gao_only
133,4.829999923706055,4.261580837835179,-0.5684190858708753,0.5684190858708753,0.3231002571822815,11.768511280528712,Gao,133,,,4.83,Gao_0133,9f90cfa70e2cf33a26362718c468f7531af04193b41db41434f179cc90b19fee,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,ad040850fe076f7b81edc89fdea1119a821ad9d1d99be28fd41643417d504359,e93ec2246c0af4fe52bdfe1629ceac32f224f1cbea6a7d6d0239ee3dcf86ad26,7bf7264ea2e7e8e65c1c237dbe3b9e758a6b7521ecd080d6a46f5f0bf7945bf2,805,1075,563,808,0.4808327803533516,gao_only
135,3.0999999046325684,5.018921509827718,1.9189216051951488,1.9189216051951488,3.682260126884728,61.90069884607277,Gao,135,,,3.1,Gao_0135,70830667ae087b533231a0e7087dcb1d6626805fd1dcd433b93e3f6565edcc67,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,74df3413b73197d40abb5f6c0eee0363cd70db016c8fd423efdc5c1555118187,5c2662a56ec123bd960c78765983e4516a1ecdd720c34d51670fdcfeab777962,26a7739cf7247b8ab63211cf41cecab6aa88fa4856e21a9692ad1ce1e8b5d4cb,529,434,161,810,0.5510950586232507,gao_only
136,6.5,4.995419159974202,-1.504580840025798,1.504580840025798,2.263763504172736,23.14739753885843,Gao,136,,,6.5,Gao_0136,1c742257e7fe70912d94cf4164ea081f01c4ed64ada13bfb7dca20640063338e,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,ccef8b78299fad02767b50bfb87466c4a1679f1f6ee8f0cdf332190fd18f9017,eeb3677cfd8ca7a6b1d71edae89be917b2bf48629ee42946ff1bd76688c3ac02,29565d825266e6210677dd1b33391988f8f0cc4590f527eb2db7953308a0b9f9,978,1110,176,811,0.5600484217093821,gao_only
142,1.2100000381469729,2.308795077965992,1.0987950398190185,1.0987950398190185,1.2073505395308783,90.80950456016043,Gao,142,,,1.21,Gao_0142,3e779f3b62470063086bcd593a485fa5c28ed4e86d15fc66aaf12d01544cd252,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,130ed585b6e1a25a43efacba8b0ce27fd564aea2079891326d938191a913adf2,7ce207ccde3544b4d22cb2f00424abf6f1d193e33d0c887d1f48ade5a023d407,44c66acb32a7dc37414422df1db4fb7529f75b2b5b8509e0c70b3d621f45a160,87,595,301,817,0.7205918781906852,gao_only
144,4.340000152587891,3.733746682063188,-0.6062534705247029,0.6062534705247029,0.3675432705232468,13.968973484095413,Gao,144,,,4.34,Gao_0144,9e916c699e9571d47d5e715f24a14a25731a0acb27c62c1f6174499b62bf153d,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,0fcf7261dc5ca660f251301e757b2955a2dede2f119a4bebdf4f71f28cbb3d11,d1c46a6a694ae0dbfb4951ce2c23d90ce82293fc812f0042f72cf8e9b9da7900,4ff1384b3c72b88e5777097d08e5b8baebb9a57672ba3905dbdb073fd8f9faef,71,970,352,819,0.4863634730038402,gao_only
146,3.5299999713897705,3.034393593816474,-0.4956063775732966,0.4956063775732966,0.245625681491325,14.039840838247232,Gao,146,,,3.53,Gao_0146,2cb3494ebc714f06d765367eba09284f29c5214205863b5d619618f37e989a3b,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,9b9b24fe199787cf8942330143219e98a0569ce053704a6d4ba5f662fe3fc764,61b1efd904743440acc4b1e719b91d17e4016715d31ed7e362c76d0bea1ad9d7,356220e8753e2a36fdfe98bdc8be02ea314519fad220a2bb7c7e5d684798e6da,708,464,239,821,0.4511384555216017,gao_only
147,3.690000057220459,2.761077627097026,-0.9289224301234328,0.9289224301234328,0.862896881186424,25.17404920646955,Gao,147,,,3.69,Gao_0147,1866d655f119dd8f042d839bd8ecb83afc1deaa6f96401d320c39c83294ba85b,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,5b1f0f9325fd7934d75cb935bfab2bebfee09c75dbd29d74d68a3d39069d2dcd,97149cfe160ee2422c07d342ad3a06bd164010815100df6b3bdc45d6545aa9fd,b2a186ec001402de34c09c21709a719ad2bee406f1eb59f1d3ffd59bfbcc57e1,413,705,826,822,0.4730399822005522,gao_only
154,2.869999885559082,2.9101587368710207,0.0401588513119386,0.0401588513119386,0.0016127333386943,1.3992631677096952,Gao,154,,,2.87,Gao_0154,cee0ade1adedac4f1c350e305dcd1e81a22bd11836bc2ff5390b807f3313e84e,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,9be27402d8c63fab6396827e7de984f270384e99c6de4f13f113e7509fe1ebac,4a438bbf8f06b20c3c4071fc35700375fe00e523d4604b8032978bd882d8bb59,0d73f7074413951eb9803af133f16b075ecbd4413725d52d7662db0a24d38f2d,712,352,66,829,0.447485886849418,gao_only
156,2.509999990463257,2.9101587368710207,0.4001587464077638,0.4001587464077638,0.160127022326633,15.94257959873174,Gao,156,,,2.51,Gao_0156,cee0ade1adedac4f1c350e305dcd1e81a22bd11836bc2ff5390b807f3313e84e,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,9be27402d8c63fab6396827e7de984f270384e99c6de4f13f113e7509fe1ebac,4a438bbf8f06b20c3c4071fc35700375fe00e523d4604b8032978bd882d8bb59,0d73f7074413951eb9803af133f16b075ecbd4413725d52d7662db0a24d38f2d,712,352,66,829,0.447485886849418,gao_only
158,1.0399999618530271,1.747807757689221,0.7078077958361939,0.7078077958361939,0.5009918758464912,68.05844440369522,Gao,158,,,1.04,Gao_0158,1c8f708d8095b8b8f3a223fd4d592b04be16f5436fa320ef06cf3cf3aac06ec2,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,053aaab9baa88244292e0c09a1e056cbd5f8b84f8daf90e7519a132636bd6d4c,5bd839de61c20abc412a3bb5154e0cb975f5c49a9d0ed145ca426ce763871c87,1bd19e7b958cf23e503cd76deab6377d50def9b51365a1f2e8a6cccc0152382b,24,432,115,832,0.5403174419508298,gao_only
161,4.25,4.464776558451133,0.2147765584511329,0.2147765584511329,0.0461289700601129,5.053566081203129,Gao,161,,,4.25,Gao_0161,555005dca41aa13c02860543e1c61c03ecdb013a7754a9af22a37fd792b42a4b,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,ed7a66caf8e0eb2ac01cf3959dcd1c69e9a7b79f1b0406f7fd5a5e8154ba3396,e4e4a1dc92e77fa5ee5e1290558c9079dbc5a10514a726b213d1a2d4d347a537,854c2918ce8b2c181f5d14ee1bd73100e5e833ffbedd7f6f0de4050689df7163,1118,1057,606,834,0.4998735926315081,gao_only
