branch,metric,mean,sd,p2_5,p97_5,between_fraction
Gao only,r,0.6323299893353546,0.0548992732553117,0.5215825643417462,0.6762090543452508,0.8549351946331599
Gao only,r2,0.3821405889836413,0.0888389107311873,0.1955919050423927,0.4456973845879545,0.8926495985272705
Gao only,rmse,1.9077790032116395,0.1415140469984152,1.742663314846589,2.187180238179088,0.8942340229240671
Gao only,mae,1.4956705552343614,0.0946834360877281,1.3731964627567128,1.6725806840708353,0.8028863416611799
In-house radius-2,r,0.600027184953812,0.1084882264277857,0.4003359440476166,0.7094508909164207,0.9587148624117106
In-house radius-2,r2,0.3348463893241263,0.1552589790305156,0.0369019179841062,0.4922272577982882,0.9459925864119892
In-house radius-2,rmse,2.5424667006503814,0.2623596190023451,2.2739127134886017,3.0451958254643565,0.9321756353561256
In-house radius-2,mae,1.912906826236036,0.1690411935567426,1.7117017140777504,2.2249804824947845,0.8509091180519244
Joint in-house + Gao,r,0.836371968087531,0.0193183417556627,0.8137840187082122,0.8670291234313078,0.9248137427239294
Joint in-house + Gao,r2,0.6962793150410038,0.0337311621955787,0.6582934523498314,0.7478822712920596,0.9041610638034252
Joint in-house + Gao,rmse,2.2627791867317364,0.1527393107957421,2.0478990987565537,2.4606569667864253,0.9294740745389428
Joint in-house + Gao,mae,1.7281949200289854,0.100180603221397,1.5598709279727767,1.866109386343321,0.856984360410597
