feature_name_zero_based,molecular_side,bit_index_zero_based,shap_rank,environment_smiles,environment_occurrence_count,unique_molecule_support
fa_531,acceptor,531,1,c1cccc(c1C(=O)C)C,229,116
fa_531,acceptor,531,1,n1(C(CC)CC)c(c(c)n)c(c)c(s)c1c(c)c,8,4
fa_531,acceptor,531,1,c12cc(c)ccc1C(=C(c)C2(B=O)B=O)C,6,3
fa_531,acceptor,531,1,c1cccc(c1C(=O)[C])C,1,1
fa_536,acceptor,536,2,C(=C(C)C)c(c)s,114,58
fa_536,acceptor,536,2,c(c(s)-c)(c(c)n)C(c)(c)c,15,10
fa_536,acceptor,536,2,C(C)C(C)(c)O,12,3
fa_536,acceptor,536,2,c1(OCC)c(c(cc(c1C(C)(C)c)-c)C)-c(c)s,2,1
fa_536,acceptor,536,2,s1c(-c(c)c)cc(Cl)c1CC,2,1
fa_536,acceptor,536,2,c(cc)(nc)c(c)c,2,1
fa_536,acceptor,536,2,C(c(c)c)C(C)C,1,1
fa_536,acceptor,536,2,C(c(c)c)C(c)C,1,1
fd_723,donor,723,3,c(-c)(c)c,543,207
fd_723,donor,723,3,c(c)(c)C,220,65
fd_723,donor,723,3,c(C)(c)c,17,11
fd_723,donor,723,3,N(CC)(C(c)=C)C(=O)C,10,5
fd_723,donor,723,3,c(cc)(c(s)-c)B(c)N,2,1
fa_764,acceptor,764,4,C(=C(C(=C)c)C(=O)c)c(sc)c(C)c,67,35
fa_764,acceptor,764,4,s(c(C)c)c(c)c,4,2
fa_984,acceptor,984,5,c(cc)c(c)C,484,127
fa_984,acceptor,984,5,c1c(CO)cccc1C(c)(c)c,8,2
fa_984,acceptor,984,5,c(cc)c(c)-c,7,4
fa_984,acceptor,984,5,c1(F)c(F)c(-c)cc(n)c1C=C,2,1
fa_984,acceptor,984,5,c12ccccc1C(C)(C)c(c)c-2cc,2,1
fd_527,donor,527,6,c(c(F)c)c(-c)s,55,32
fd_527,donor,527,6,c(c(F)c)c(C)s,3,2
fd_527,donor,527,6,c12nn(C)nc1c(-c)cc(F)c2-c(c)o,2,1
fd_527,donor,527,6,c1(C)cc(O)c(-c)s1,2,2
fa_523,acceptor,523,7,C1(=C(C#N)C#N)C(=Cc)C(=O)c(c)c1cc,375,208
fa_523,acceptor,523,7,C(=C(C(=C)c)C(=O)c)c(sc)c(-c)c,6,3
fa_523,acceptor,523,7,C1(=C(C#N)C#N)C(=CC)C(=O)c(c)c1cc,4,4
fa_523,acceptor,523,7,c1(CCC)c(-c(c)s)sc(C)c1F,2,1
fa_523,acceptor,523,7,C(=C(C(=C)c)C(=O)c)c(sc)c(c)C,2,1
fa_523,acceptor,523,7,c1(C=C(C)C)cc(c(s1)C)S,1,1
fa_416,acceptor,416,8,c(c)(c)n,186,57
fa_416,acceptor,416,8,c(cc)(c(c)c)C(=O)N,12,3
fa_416,acceptor,416,8,c(c(s)C)(c(c)c)C(=C)C,4,3
fa_416,acceptor,416,8,C1(=Cc(c)s)C(=O)c(c)c(c)C1=C(C)C,1,1
fa_416,acceptor,416,8,C(SC)(c(c)c)C(C)C,1,1
fa_416,acceptor,416,8,c1(-c(c(c)C)c(c)-c)cccs1,1,1
fa_416,acceptor,416,8,c1(-c(c(c)-c)c(c)C)cccs1,1,1
fd_372,donor,372,9,c(F)(cc)c(C)s,34,18
fd_372,donor,372,9,c1(CCC)ccc(C)s1,4,1
fd_372,donor,372,9,c(B)(c)c,2,1
fd_372,donor,372,9,c(-c(c)s)(sc)c(c)c,2,2
fd_372,donor,372,9,n1cc(O)nc(c)c1c(-c)c,1,1
fd_372,donor,372,9,s1c(-c(c)c)ccc1C(C)S,1,1
fa_584,acceptor,584,10,c(cc)(c(c)C)C(=C)C,400,212
fa_584,acceptor,584,10,O1c(cc)c(s)-cc(c)C1(c(c)c)c(c)c,12,6
fa_584,acceptor,584,10,c12sc(c)c(s)c1C(c)(C)c(c)c-2cc,2,2
