original_feature_index_zero_based,feature_name_zero_based,molecular_side,selected_by_training_only_MI,mean_absolute_shap,rank_by_mean_absolute_shap
0,fd_0,donor,False,,
1,fd_1,donor,True,0.0018787433326285,352.0
2,fd_2,donor,True,0.0128241871205635,82.0
3,fd_3,donor,False,,
4,fd_4,donor,True,0.0093599833276658,112.0
5,fd_5,donor,False,,
6,fd_6,donor,False,,
7,fd_7,donor,False,,
8,fd_8,donor,False,,
9,fd_9,donor,False,,
10,fd_10,donor,False,,
11,fd_11,donor,False,,
12,fd_12,donor,False,,
13,fd_13,donor,False,,
14,fd_14,donor,True,0.0105311464515079,97.0
15,fd_15,donor,False,,
16,fd_16,donor,False,,
17,fd_17,donor,False,,
18,fd_18,donor,False,,
19,fd_19,donor,False,,
20,fd_20,donor,True,0.0022941500982595,317.0
21,fd_21,donor,True,0.0057038728723594,174.0
22,fd_22,donor,True,0.0002197502804719,544.0
23,fd_23,donor,False,,
24,fd_24,donor,True,0.0041408427869263,212.0
25,fd_25,donor,True,0.0019195262151767,348.0
26,fd_26,donor,False,,
27,fd_27,donor,False,,
28,fd_28,donor,False,,
29,fd_29,donor,False,,
30,fd_30,donor,False,,
31,fd_31,donor,False,,
32,fd_32,donor,True,0.0055436503398845,181.0
33,fd_33,donor,False,,
34,fd_34,donor,False,,
35,fd_35,donor,False,,
36,fd_36,donor,True,0.0021513407213445,332.0
37,fd_37,donor,False,,
38,fd_38,donor,False,,
39,fd_39,donor,False,,
40,fd_40,donor,True,0.0159444918188273,64.0
41,fd_41,donor,True,0.0142522374076785,74.0
42,fd_42,donor,False,,
43,fd_43,donor,True,0.0006539183018359,464.0
44,fd_44,donor,True,0.001515438033242,387.0
45,fd_45,donor,False,,
46,fd_46,donor,True,0.0134677394977068,79.0
47,fd_47,donor,True,0.0022568575424331,320.0
48,fd_48,donor,True,0.0009885910065508,422.0
49,fd_49,donor,False,,
50,fd_50,donor,False,,
51,fd_51,donor,False,,
52,fd_52,donor,False,,
53,fd_53,donor,False,,
