selected_model_input_position,original_feature_index_zero_based,feature_name_zero_based,mean_absolute_shap,rank_by_mean_absolute_shap
449,1555,fa_531,0.327604342978293,1
451,1560,fa_536,0.2594290673695502,2
206,723,fd_723,0.1905129206007305,3
520,1788,fa_764,0.1116625605421853,4
591,2008,fa_984,0.1025244851010823,5
147,527,fd_527,0.1010350921235229,6
446,1547,fa_523,0.0961028057473158,7
416,1440,fa_416,0.0953082283774137,8
99,372,fd_372,0.0951761786908778,9
466,1608,fa_584,0.0773070236518454,10
233,793,fd_793,0.0691888495682611,11
279,978,fd_978,0.0682679334497539,12
169,610,fd_610,0.0657783848254236,13
293,1039,fa_15,0.0594234266194786,14
38,122,fd_122,0.0584659741392016,15
356,1231,fa_207,0.0569848101031911,16
464,1600,fa_576,0.0568274422869253,17
158,567,fd_567,0.0536274884788985,18
500,1722,fa_698,0.051594023363719,19
143,511,fd_511,0.042231665089065,20
548,1871,fa_847,0.042108233077496,21
393,1361,fa_337,0.0404870099780512,22
458,1574,fa_550,0.0362794236935368,23
55,177,fd_177,0.0341345642125285,24
104,383,fd_383,0.0338377694311574,25
375,1301,fa_277,0.0327915082030534,26
314,1086,fa_62,0.0322523722444508,27
342,1169,fa_145,0.0322120452334425,28
281,987,fd_987,0.0319600478592297,29
135,494,fd_494,0.0304994863472359,30
41,128,fd_128,0.0298936829714375,31
252,875,fd_875,0.0296815228680021,32
351,1212,fa_188,0.0294288625372438,33
319,1098,fa_74,0.0269794248149577,34
54,175,fd_175,0.0269013893275066,35
272,960,fd_960,0.0268468192503244,36
338,1155,fa_131,0.026609747228482,37
140,502,fd_502,0.0264867374320078,38
236,807,fd_807,0.0258780541927296,39
181,650,fd_650,0.025722504908424,40
248,860,fd_860,0.0256743056948817,41
28,88,fd_88,0.0253729599211823,42
345,1188,fa_164,0.0250637785484484,43
44,139,fd_139,0.023871847461659,44
528,1809,fa_785,0.0229470720634667,45
124,456,fd_456,0.0226781669215625,46
37,121,fd_121,0.0226255522885149,47
524,1798,fa_774,0.0220068988821495,48
461,1584,fa_560,0.021493521836071,49
263,922,fd_922,0.0203240370282498,50
535,1826,fa_802,0.0203106662433702,51
539,1840,fa_816,0.0203028566213537,52
198,705,fd_705,0.0198012859694045,53
180,648,fd_648,0.0195117831593132,54
166,601,fd_601,0.019228659604121,55
239,816,fd_816,0.0192068854462305,56
86,314,fd_314,0.0180097951311226,57
566,1928,fa_904,0.0179075017381784,58
454,1565,fa_541,0.0170810224261408,59
154,552,fd_552,0.0168845849336842,60
547,1869,fa_845,0.0167500288705144,61
26,82,fd_82,0.0166353177294847,62
174,635,fd_635,0.0163121174882397,63
11,40,fd_40,0.0159444918188273,64
90,332,fd_332,0.0159389635003897,65
599,2047,fa_1023,0.0152219702964304,66
554,1895,fa_871,0.014690488600156,67
305,1067,fa_43,0.0146507728146034,68
241,832,fd_832,0.0146411356794922,69
560,1909,fa_885,0.0145913784709822,70
502,1724,fa_700,0.0145738480865618,71
117,421,fd_421,0.0144588654749757,72
306,1068,fa_44,0.0142954867664747,73
12,41,fd_41,0.0142522374076785,74
25,79,fd_79,0.0140375310435086,75
157,561,fd_561,0.0137741788387879,76
278,976,fd_976,0.013622265988766,77
544,1861,fa_837,0.0134910557175317,78
15,46,fd_46,0.0134677394977068,79
465,1603,fa_579,0.013357940638273,80
477,1640,fa_616,0.0129827038591906,81
1,2,fd_2,0.0128241871205635,82
228,771,fd_771,0.0128232269853174,83
191,695,fd_695,0.0121609196759712,84
512,1761,fa_737,0.0121303638236266,85
447,1548,fa_524,0.012045461835739,86
513,1767,fa_743,0.0120095106153071,87
595,2034,fa_1010,0.0120038561544783,88
220,747,fd_747,0.0117786982490005,89
441,1520,fa_496,0.0115831513781829,90
432,1486,fa_462,0.011331216120273,91
221,749,fd_749,0.0111171335149037,92
317,1092,fa_68,0.011070562135687,93
335,1146,fa_122,0.0110610675783008,94
232,790,fd_790,0.0106254062830306,95
224,754,fd_754,0.0105787211622886,96
3,14,fd_14,0.0105311464515079,97
318,1095,fa_71,0.0104360750571521,98
119,428,fd_428,0.0104175414121495,99
320,1103,fa_79,0.0103369684700493,100
541,1854,fa_830,0.0098809624080414,101
459,1576,fa_552,0.0098184644451498,102
244,840,fd_840,0.009811990267937,103
288,1011,fd_1011,0.0098081645686975,104
231,788,fd_788,0.0097270499997515,105
57,189,fd_189,0.0096713547354088,106
137,496,fd_496,0.0096465486044051,107
138,499,fd_499,0.0095708761708991,108
297,1049,fa_25,0.0094915834585074,109
469,1620,fa_596,0.0094538864523462,110
521,1792,fa_768,0.0094428896757315,111
2,4,fd_4,0.0093599833276658,112
505,1747,fa_723,0.0093127917378221,113
543,1858,fa_834,0.0092881940784249,114
273,963,fd_963,0.009218207676635,115
199,709,fd_709,0.0092010073217055,116
21,65,fd_65,0.0091961645407683,117
350,1210,fa_186,0.0091016051030683,118
184,656,fd_656,0.0090962828400584,119
408,1406,fa_382,0.009027969679006,120
380,1321,fa_297,0.0089988449962492,121
332,1140,fa_116,0.0089764159317512,122
486,1676,fa_652,0.0088893203940983,123
576,1970,fa_946,0.0088542439710565,124
72,241,fd_241,0.0088379780691711,125
419,1449,fa_425,0.0087322755293921,126
50,160,fd_160,0.0086574729212319,127
453,1564,fa_540,0.0085911304712113,128
299,1055,fa_31,0.0084069592086376,129
209,726,fd_726,0.0080143099602092,130
214,736,fd_736,0.0079827044213621,131
396,1366,fa_342,0.0079543490540216,132
516,1779,fa_755,0.0079537003835234,133
120,445,fd_445,0.007938631229596,134
88,318,fd_318,0.0078504107053139,135
315,1088,fa_64,0.0078384483952591,136
123,454,fd_454,0.0076702917355927,137
527,1808,fa_784,0.0076672072953237,138
165,596,fd_596,0.0076509338175792,139
213,733,fd_733,0.0076189037425149,140
144,513,fd_513,0.0075960831476397,141
192,697,fd_697,0.0074404379731764,142
478,1644,fa_620,0.007436130044032,143
245,854,fd_854,0.0073518598313571,144
508,1752,fa_728,0.0072632923705326,145
488,1683,fa_659,0.0072545297799029,146
571,1947,fa_923,0.0071966332832684,147
460,1580,fa_556,0.0071456563957524,148
194,699,fd_699,0.0071314486450833,149
83,302,fd_302,0.0070942483994937,150
102,376,fd_376,0.0070794696855329,151
47,145,fd_145,0.0070355202711855,152
267,935,fd_935,0.0070124604581028,153
518,1781,fa_757,0.0069840383022635,154
438,1508,fa_484,0.0069789305297897,155
584,1984,fa_960,0.006872072567922,156
455,1567,fa_543,0.0067987978326884,157
510,1755,fa_731,0.0067681823717172,158
105,387,fd_387,0.0067564673759852,159
340,1161,fa_137,0.0067217987851761,160
409,1410,fa_386,0.006690919028781,161
69,225,fd_225,0.0066773771714255,162
392,1359,fa_335,0.006475807320019,163
572,1950,fa_926,0.0064401412778495,164
428,1481,fa_457,0.0063872000071496,165
189,684,fd_684,0.0060740112895881,166
321,1109,fa_85,0.0060058058456186,167
141,504,fd_504,0.0059036890799598,168
373,1298,fa_274,0.0058897966038523,169
546,1866,fa_842,0.0058877285982684,170
216,741,fd_741,0.0058411267437159,171
66,219,fd_219,0.005792206348204,172
339,1160,fa_136,0.0057285824602792,173
5,21,fd_21,0.0057038728723594,174
202,717,fd_717,0.005624610650228,175
590,2007,fa_983,0.0056098188322381,176
264,926,fd_926,0.0056073703668146,177
582,1982,fa_958,0.0055924236794227,178
589,2004,fa_980,0.0055713075190173,179
292,1025,fa_1,0.0055503674057894,180
9,32,fd_32,0.0055436503398845,181
27,84,fd_84,0.0054755007974458,182
542,1857,fa_833,0.005427977044247,183
222,750,fd_750,0.0053752785602682,184
89,331,fd_331,0.0053037130484044,185
63,208,fd_208,0.0051871406675636,186
497,1715,fa_691,0.0051385895318294,187
333,1141,fa_117,0.0051060080167062,188
388,1337,fa_313,0.0050640999833152,189
178,642,fd_642,0.0050580658614093,190
412,1423,fa_399,0.004944468095402,191
62,205,fd_205,0.0049201729829208,192
331,1137,fa_113,0.004864712431871,193
349,1199,fa_175,0.004836573854284,194
578,1973,fa_949,0.0048344589967367,195
260,904,fd_904,0.0048017412088123,196
496,1708,fa_684,0.004767995604223,197
217,743,fd_743,0.0046656201970874,198
294,1041,fa_17,0.0045475504480646,199
20,64,fd_64,0.0044759380803774,200
301,1058,fa_34,0.0044640177684805,201
290,1017,fd_1017,0.0043954979666166,202
81,296,fd_296,0.0043954722624859,203
84,304,fd_304,0.0043667246613626,204
549,1872,fa_848,0.0043421093825478,205
129,473,fd_473,0.0042729479228946,206
159,570,fd_570,0.0042405741063677,207
366,1258,fa_234,0.0042307031926783,208
355,1229,fa_205,0.0041884625564397,209
247,859,fd_859,0.0041860875096333,210
361,1244,fa_220,0.0041567738268902,211
