query_source,query_index,nearest_other_source_index,donor_similarity,acceptor_similarity,paired_similarity
in-house,0,533,0.28070175647735596,0.5,0.390350878238678
in-house,1,483,0.5,0.3645833432674408,0.4322916865348816
in-house,2,483,0.5,0.3684210479259491,0.43421053886413574
in-house,3,352,0.29411765933036804,0.3365384638309479,0.31532806158065796
in-house,4,483,0.5,0.3396226465702057,0.41981130838394165
in-house,5,352,0.29411765933036804,0.3333333432674408,0.3137255012989044
in-house,6,533,0.1666666716337204,0.5,0.3333333432674408
in-house,7,47,0.4285714328289032,0.3820224702358246,0.4052969515323639
in-house,8,47,0.4285714328289032,0.3777777850627899,0.40317460894584656
in-house,9,352,0.29411765933036804,0.36082473397254944,0.32747119665145874
in-house,10,483,0.5,0.3571428656578064,0.4285714328289032
in-house,11,352,0.3645833432674408,0.4333333373069763,0.39895832538604736
in-house,12,483,0.5,0.4333333373069763,0.46666666865348816
in-house,13,483,0.5,0.3571428656578064,0.4285714328289032
in-house,14,47,0.4285714328289032,0.4021739065647125,0.41537266969680786
in-house,15,462,0.3207547068595886,0.3645833432674408,0.3426690101623535
in-house,16,533,0.13114753365516663,0.5,0.3155737519264221
in-house,17,483,0.5,0.3645833432674408,0.4322916865348816
in-house,18,533,0.33944955468177795,0.5,0.4197247624397278
in-house,19,483,0.5,0.3571428656578064,0.4285714328289032
in-house,20,47,0.4285714328289032,0.3777777850627899,0.40317460894584656
in-house,21,534,0.1764705926179886,0.43877550959587097,0.3076230585575104
in-house,22,480,0.5979381203651428,0.3645833432674408,0.4812607169151306
in-house,23,47,0.4285714328289032,0.3777777850627899,0.40317460894584656
in-house,24,533,0.3272727131843567,0.5,0.41363635659217834
in-house,25,533,0.22123894095420837,0.5,0.3606194853782654
in-house,26,483,0.5,0.35353535413742065,0.4267676770687103
in-house,27,533,0.3333333432674408,0.5,0.4166666865348816
in-house,28,483,0.5,0.3564356565475464,0.4282178282737732
in-house,29,483,0.5,0.3185840845108032,0.4092920422554016
in-house,30,47,0.4660194218158722,0.37634408473968506,0.42118173837661743
in-house,31,533,0.3400000035762787,1.0,0.6700000166893005
in-house,32,483,0.5,0.3211009204387665,0.41055047512054443
in-house,33,483,0.5,0.33018869161605835,0.4150943458080292
in-house,34,483,0.5,0.3684210479259491,0.43421053886413574
in-house,35,533,0.13114753365516663,1.0,0.5655737519264221
in-house,36,533,0.13114753365516663,1.0,0.5655737519264221
in-house,37,533,0.3305785059928894,0.5,0.4152892529964447
in-house,38,47,0.4285714328289032,0.3777777850627899,0.40317460894584656
in-house,39,93,0.3583333194255829,0.3645833432674408,0.36145833134651184
in-house,40,533,0.33636364340782166,0.6344085931777954,0.4853861331939697
in-house,41,533,0.3207547068595886,0.5631067752838135,0.44193074107170105
in-house,42,483,0.5,0.38053098320961,0.4402654767036438
in-house,43,533,0.3207547068595886,0.9041095972061157,0.6124321222305298
in-house,44,483,0.5,0.36000001430511475,0.4300000071525574
in-house,45,483,0.5,0.38461539149284363,0.442307710647583
in-house,46,483,0.5,0.343137264251709,0.4215686321258545
in-house,47,533,0.3272727131843567,0.8399999737739563,0.5836363434791565
in-house,48,533,0.33636364340782166,0.5894736647605896,0.46291863918304443
in-house,49,533,0.3207547068595886,0.6117647290229797,0.4662597179412842
in-house,50,533,0.380952388048172,0.8831169009208679,0.6320346593856812
in-house,51,533,0.3272727131843567,1.0,0.663636326789856
in-house,52,533,0.3272727131843567,0.8024691343307495,0.5648709535598755
in-house,53,462,0.34210526943206787,0.3645833432674408,0.3533443212509155
in-house,54,533,0.3207547068595886,0.6521739363670349,0.48646432161331177
in-house,55,533,0.33636364340782166,0.5918367505073547,0.464100182056427
in-house,56,483,0.5,0.4301075339317322,0.4650537669658661
in-house,57,352,0.29411765933036804,0.6301369667053223,0.46212732791900635
in-house,58,93,0.5151515007019043,0.3181818127632141,0.4166666567325592
in-house,59,533,0.13970588147640228,0.875,0.5073529481887817
in-house,60,483,0.46236559748649597,0.4761904776096344,0.4692780375480652
in-house,61,483,0.46236559748649597,0.4333333373069763,0.44784945249557495
in-house,62,533,0.33636364340782166,0.6304348111152649,0.4833992123603821
in-house,63,483,0.46236559748649597,0.3888888955116272,0.4256272315979004
in-house,64,533,0.28431373834609985,0.7011494040489197,0.49273157119750977
in-house,65,533,0.3207547068595886,0.6790123581886292,0.4998835325241089
in-house,66,533,0.18965516984462738,1.0,0.5948275923728943
in-house,67,533,0.3207547068595886,0.807692289352417,0.5642235279083252
in-house,68,533,0.33636364340782166,0.6292135119438171,0.4827885627746582
in-house,69,47,0.4285714328289032,0.4615384638309479,0.44505494832992554
in-house,70,533,0.2702702581882477,1.0,0.6351351141929626
in-house,71,533,0.3207547068595886,0.5631067752838135,0.44193074107170105
in-house,72,93,0.4433962404727936,0.3645833432674408,0.4039897918701172
in-house,73,453,0.40816327929496765,0.7692307829856873,0.5886970162391663
in-house,74,533,0.3185840845108032,0.5,0.4092920422554016
in-house,75,483,0.46236559748649597,0.4556961953639984,0.4590308964252472
in-house,76,533,0.380952388048172,0.5858585834503174,0.4834054708480835
in-house,77,533,0.3207547068595886,0.5631067752838135,0.44193074107170105
in-house,78,352,0.29411765933036804,1.0,0.6470588445663452
in-house,79,483,0.46236559748649597,0.4019607901573181,0.43216317892074585
in-house,80,533,0.13970588147640228,0.8399999737739563,0.4898529350757599
in-house,81,483,0.46236559748649597,0.4019607901573181,0.43216317892074585
in-house,82,352,0.29411765933036804,0.4333333373069763,0.363725483417511
in-house,83,533,0.33636364340782166,0.6702127456665039,0.503288209438324
in-house,84,352,0.29411765933036804,0.3827160596847534,0.3384168744087219
in-house,85,533,0.3207547068595886,1.0,0.6603773832321167
in-house,86,533,0.2222222238779068,0.5,0.3611111044883728
in-house,87,533,0.22123894095420837,1.0,0.6106194853782654
in-house,88,47,0.2063492089509964,0.7777777910232544,0.4920634925365448
in-house,89,533,0.30909091234207153,1.0,0.6545454263687134
in-house,90,533,0.13114753365516663,0.7023809552192688,0.4167642593383789
in-house,91,533,0.1666666716337204,0.875,0.5208333134651184
in-house,92,533,0.33636364340782166,0.6511628031730652,0.4937632083892822
in-house,93,352,0.29411765933036804,0.7878788113594055,0.5409982204437256
in-house,94,533,0.380952388048172,0.4326923191547394,0.4068223536014557
in-house,95,533,0.3207547068595886,0.7272727489471436,0.5240137577056885
in-house,96,418,0.5052631497383118,0.3645833432674408,0.4349232316017151
in-house,97,533,0.3272727131843567,0.875,0.601136326789856
in-house,98,483,0.5,0.3541666567325592,0.4270833134651184
in-house,99,533,0.28431373834609985,1.0,0.6421568393707275
in-house,100,483,0.5,0.7903226017951965,0.6451612710952759
in-house,101,533,0.33636364340782166,0.5233644843101501,0.4298640489578247
in-house,102,533,0.380952388048172,0.6236559152603149,0.5023041367530823
in-house,103,533,0.27272728085517883,0.835616409778595,0.5541718602180481
in-house,104,533,0.33636364340782166,0.7439024448394775,0.5401330590248108
in-house,105,533,0.29914531111717224,0.5,0.3995726704597473
in-house,106,533,0.20353981852531433,1.0,0.6017699241638184
in-house,107,533,0.302752286195755,0.7441860437393188,0.5234691500663757
in-house,108,47,0.4285714328289032,0.49425286054611206,0.46141213178634644
in-house,109,533,0.3207547068595886,0.557692289352417,0.4392234981060028
in-house,110,483,0.5,0.389380544424057,0.4446902871131897
in-house,111,533,0.30434781312942505,0.5,0.4021739065647125
in-house,112,533,0.33636364340782166,0.7439024448394775,0.5401330590248108
in-house,113,483,0.5,0.42105263471603394,0.46052631735801697
in-house,114,533,0.30000001192092896,0.5,0.4000000059604645
in-house,115,533,0.2897196114063263,0.7820512652397156,0.5358854532241821
in-house,116,533,0.1666666716337204,0.75,0.4583333432674408
in-house,117,533,0.3207547068595886,0.5631067752838135,0.44193074107170105
in-house,118,533,0.1666666716337204,0.8648648858070374,0.5157657861709595
in-house,119,483,0.5,0.31092438101768494,0.40546220541000366
in-house,120,352,0.4736842215061188,1.0,0.7368420958518982
in-house,121,483,0.5,0.47727271914482117,0.4886363744735718
in-house,122,483,0.5,0.796875,0.6484375
in-house,123,533,0.23595505952835083,0.835616409778595,0.5357857346534729
in-house,124,93,0.5204081535339355,0.4095238149166107,0.4649659991264343
in-house,125,533,0.3245614171028137,0.5,0.41228070855140686
in-house,126,533,0.33636364340782166,0.7749999761581421,0.5556818246841431
in-house,127,352,0.29411765933036804,0.649350643157959,0.4717341661453247
in-house,128,483,0.46236559748649597,0.7692307829856873,0.6157981753349304
in-house,129,483,0.46236559748649597,0.4183673560619354,0.4403664767742157
in-house,130,533,0.13114753365516663,0.5544554591178894,0.3428015112876892
in-house,131,418,0.5057471394538879,0.5844155550003052,0.545081377029419
in-house,132,533,0.13114753365516663,0.7228915691375732,0.42701953649520874
in-house,133,533,0.3619047701358795,0.6470588445663452,0.5044817924499512
in-house,134,533,0.2641509473323822,0.707317054271698,0.4857339859008789
in-house,135,533,0.3207547068595886,0.8243243098258972,0.5725395083427429
in-house,136,533,0.3207547068595886,0.7303370833396912,0.5255458950996399
in-house,137,533,0.33636364340782166,0.6739130616188049,0.5051383376121521
in-house,138,533,0.3272727131843567,0.7777777910232544,0.5525252819061279
in-house,139,533,0.2767857015132904,0.8243243098258972,0.5505549907684326
in-house,140,533,0.13114753365516663,0.8181818127632141,0.47466468811035156
in-house,141,533,0.20338982343673706,0.8243243098258972,0.5138570666313171
in-house,142,47,0.4285714328289032,0.6081081032752991,0.5183397531509399
in-house,143,352,0.29411765933036804,0.8032786846160889,0.5486981868743896
in-house,144,533,0.1666666716337204,0.5894736647605896,0.3780701756477356
in-house,145,533,0.33636364340782166,0.835616409778595,0.5859900116920471
in-house,146,483,0.5,0.3195876181125641,0.40979379415512085
in-house,147,475,0.5333333611488342,0.5921052694320679,0.5627193450927734
in-house,148,533,0.33636364340782166,0.529411792755127,0.4328877329826355
in-house,149,533,0.21153846383094788,0.6236559152603149,0.4175971746444702
in-house,150,483,0.46236559748649597,0.4112149477005005,0.4367902874946594
in-house,151,533,0.380952388048172,0.4909090995788574,0.4359307289123535
in-house,152,483,0.46236559748649597,0.5625,0.5124328136444092
in-house,153,47,0.44545453786849976,0.4112149477005005,0.4283347427845001
in-house,154,533,0.30909091234207153,1.0,0.6545454263687134
in-house,155,352,0.4736842215061188,0.48235294222831726,0.478018581867218
in-house,156,533,0.2612612545490265,0.835616409778595,0.5484388470649719
in-house,157,93,0.5154638886451721,0.44565218687057495,0.48055803775787354
in-house,158,533,0.3207547068595886,0.6380952596664429,0.47942498326301575
in-house,159,533,0.33636364340782166,0.797468364238739,0.5669159889221191
in-house,160,483,0.46236559748649597,0.28125,0.3718078136444092
in-house,161,483,0.46236559748649597,0.4545454680919647,0.45845553278923035
