array_index,encoding_mode,donor_active_bits,acceptor_active_bits,total_active_bits,full_sequence_length,max_len,truncated,donor_tokens_retained,acceptor_tokens_retained,separator_retained,donor_tokens_dropped,acceptor_tokens_dropped,encoded_nonzero_length,source
0,legacy,73,76,149,149,200,False,73,76,0,0,0,149,in-house
1,legacy,67,76,143,143,200,False,67,76,0,0,0,143,in-house
2,legacy,67,75,142,142,200,False,67,75,0,0,0,142,in-house
3,legacy,53,84,137,137,200,False,53,84,0,0,0,137,in-house
4,legacy,67,87,154,154,200,False,67,87,0,0,0,154,in-house
5,legacy,53,85,138,138,200,False,53,85,0,0,0,138,in-house
6,legacy,53,76,129,129,200,False,53,76,0,0,0,129,in-house
7,legacy,73,68,141,141,200,False,73,68,0,0,0,141,in-house
8,legacy,73,69,142,142,200,False,73,69,0,0,0,142,in-house
9,legacy,53,77,130,130,200,False,53,77,0,0,0,130,in-house
10,legacy,67,78,145,145,200,False,67,78,0,0,0,145,in-house
11,legacy,52,74,126,126,200,False,52,74,0,0,0,126,in-house
12,legacy,67,74,141,141,200,False,67,74,0,0,0,141,in-house
13,legacy,67,78,145,145,200,False,67,78,0,0,0,145,in-house
14,legacy,73,74,147,147,200,False,73,74,0,0,0,147,in-house
15,legacy,83,76,159,159,200,False,83,76,0,0,0,159,in-house
16,legacy,65,76,141,141,200,False,65,76,0,0,0,141,in-house
17,legacy,67,76,143,143,200,False,67,76,0,0,0,143,in-house
18,legacy,73,76,149,149,200,False,73,76,0,0,0,149,in-house
19,legacy,67,78,145,145,200,False,67,78,0,0,0,145,in-house
20,legacy,73,69,142,142,200,False,73,69,0,0,0,142,in-house
21,legacy,65,69,134,134,200,False,65,69,0,0,0,134,in-house
22,legacy,77,76,153,153,200,False,77,76,0,0,0,153,in-house
23,legacy,73,69,142,142,200,False,73,69,0,0,0,142,in-house
24,legacy,73,76,149,149,200,False,73,76,0,0,0,149,in-house
25,legacy,65,76,141,141,200,False,65,76,0,0,0,141,in-house
26,legacy,67,79,146,146,200,False,67,79,0,0,0,146,in-house
27,legacy,87,76,163,163,200,False,87,76,0,0,0,163,in-house
28,legacy,67,82,149,149,200,False,67,82,0,0,0,149,in-house
29,legacy,67,94,161,161,200,False,67,94,0,0,0,161,in-house
30,legacy,64,73,137,137,200,False,64,73,0,0,0,137,in-house
31,legacy,61,68,129,129,200,False,61,68,0,0,0,129,in-house
32,legacy,67,89,156,156,200,False,67,89,0,0,0,156,in-house
33,legacy,67,86,153,153,200,False,67,86,0,0,0,153,in-house
34,legacy,67,75,142,142,200,False,67,75,0,0,0,142,in-house
35,legacy,65,68,133,133,200,False,65,68,0,0,0,133,in-house
36,legacy,65,68,133,133,200,False,65,68,0,0,0,133,in-house
37,legacy,88,76,164,164,200,False,88,76,0,0,0,164,in-house
38,legacy,73,69,142,142,200,False,73,69,0,0,0,142,in-house
39,legacy,81,76,157,157,200,False,81,76,0,0,0,157,in-house
40,legacy,74,84,158,158,200,False,74,84,0,0,0,158,in-house
41,legacy,67,93,160,160,200,False,67,93,0,0,0,160,in-house
42,legacy,67,101,168,168,200,False,67,101,0,0,0,168,in-house
43,legacy,67,71,138,138,200,False,67,71,0,0,0,138,in-house
44,legacy,67,81,148,148,200,False,67,81,0,0,0,148,in-house
45,legacy,67,71,138,138,200,False,67,71,0,0,0,138,in-house
46,legacy,67,82,149,149,200,False,67,82,0,0,0,149,in-house
47,legacy,73,70,143,143,200,False,73,70,0,0,0,143,in-house
48,legacy,74,83,157,157,200,False,74,83,0,0,0,157,in-house
