array_index,source,source_row,donor_smiles,acceptor_smiles,experimental_PCE,pair_key,donor_fp_hash,acceptor_fp_hash,pair_fp_hash,legacy_sequence_hash,role_aware_sequence_hash,pair_fp_group_id,legacy_sequence_group_id,role_aware_sequence_group_id,safe_any_encoding_group_id
0,Gao,0,,,1.36,Gao_0000,8e2c74235925f35938df5fd53afb7dd4249fdbc0860494df9e1e5d7079af21ef,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,6dff0764c8d46d844ff19cecd54e299c7e1f57ed2557cae2f67c7367b6dba3b3,ff268e1b0dc984e06a7a0bcd3a9ca4f278b2755f4c546572956b8163293f3958,2df6bbd16f0dbd6c089686f6f243788f7916115e843a1ed2afa8626d98f74830,498,1185,202,681
1,Gao,1,,,1.24,Gao_0001,8e2c74235925f35938df5fd53afb7dd4249fdbc0860494df9e1e5d7079af21ef,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,f24724ae874376042bfaaf4ccdf7770e51d2c09dc26f5e646db1528ce2c9b980,162611000c73392a34641ca68831d35e4a8def580e60469aaf6cbe0ea6dca16f,b0490166a65e9ccad667bb75d9a20a68f0dd1bd41fef7d2c9d24e27707127753,1141,112,810,682
2,Gao,2,,,3.16,Gao_0002,45428086e8de51c3bb1ea293c4626e0b3d077f672497a36ee5758bf15731f519,79a9af327ea103eba28cd661ee4a5fbd1877d89cc8909ddb6038947c6ef598a9,618830620e25dbca559a2acad00ce8663c907b9a661f2c9a76d51d2994c33a14,eabc3a2e4e84da18bde75f5abcc543a618d715465bb41371dadb466e4a4a8193,1eb9d96ce8a9e2c74dcf658ee209d91635dd055675f7098b1c7173fb1f37a7ac,440,1081,131,683
3,Gao,3,,,2.1,Gao_0003,af9d145acd5ddab33d6c9b614d07abc41bd22ba261a87131a03b2ebe187ea8bf,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,ab8db180121a5c084069499f727ce871a0b87fbb9fd651379fe5f15371508a33,c2d3f08546c7c299bf4e61db1b9e5671e74810ffbb7419b7ef89f20916c1fda1,fde94584fb4768a1861a1b0212c2183e94554b333b42e437f479e5f6cd9a8f13,799,895,1185,684
4,Gao,4,,,2.7,Gao_0004,af9d145acd5ddab33d6c9b614d07abc41bd22ba261a87131a03b2ebe187ea8bf,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,ab8db180121a5c084069499f727ce871a0b87fbb9fd651379fe5f15371508a33,c2d3f08546c7c299bf4e61db1b9e5671e74810ffbb7419b7ef89f20916c1fda1,fde94584fb4768a1861a1b0212c2183e94554b333b42e437f479e5f6cd9a8f13,799,895,1185,684
5,Gao,5,,,2.9,Gao_0005,f25af6eb278da6543adfc9ca5c2ff86842370bc2bf521dc59d4edf8e12250035,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,73c41fedf3fbfbf162ce3ec9f83645352d53c4a546fc75834bc1217140ada0f0,e8ab2018525cadf3eb1490e9b7e567d758c5906e6106e1fb596b05676d7b0d2c,7058f7cf87a24cbfaf61b8c6511a593102a688cf6e884d2cb9a50bb9212ad115,523,1073,508,685
6,Gao,6,,,0.5,Gao_0006,a6cf1ab48f543788309e498021cc9a7e206cf0189e09fae3aa9eaab834e81668,0200210bcf15d900163b083f37822f819e4cacf358747423834334ad050b737f,efef5dd8256f3faa8a933ca17336d0c411da64f95c22972a83c58b5f7f56e36f,ddd60fe76fdef2dc6798027ec7285d8290586e6a260f41255cae7dba7d6df025,da5c53cf5bab6b75020db5ac2f3f9455310429bf12b6a0169817c40e975a4497,1130,1019,1006,686
7,Gao,7,,,1.55,Gao_0007,1f6211df7014f9018a4e135878abeeb19402346dc9859199b5383e816e8bd97b,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,0bbbbb9eba2cfbedbe67b20e44c6f4f3a9b7dc5ca2d48a68a074245b0f10be15,2bdaa99a462a51b0a66d05843a94413a1357b81192d97d2df681d7f6b90c9ec5,58a9713ec5a8bf3f4a64be3aeb272583a88880c25c8f1f7e4c3934a07f549636,50,209,396,687
8,Gao,8,,,3.52,Gao_0008,1f6211df7014f9018a4e135878abeeb19402346dc9859199b5383e816e8bd97b,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,0bbbbb9eba2cfbedbe67b20e44c6f4f3a9b7dc5ca2d48a68a074245b0f10be15,2bdaa99a462a51b0a66d05843a94413a1357b81192d97d2df681d7f6b90c9ec5,58a9713ec5a8bf3f4a64be3aeb272583a88880c25c8f1f7e4c3934a07f549636,50,209,396,687
9,Gao,9,,,1.72,Gao_0009,156a36df8b6890c00b722f209a78386e57bed3d66c72ea4eb1628f8b6aa0bdc6,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,9591aff4aafcbd45fc16e532b3e20109815c0c3506820989c2d38a3cf51a7450,d2456367e7ba040aa0dc69278c6ed94350313e52dae2749f69efe1f8a19971a1,09df32f417a371c70266767dcdc8e07bdafae38f5c82d2a9b2b58c8d9b5d9159,682,971,49,688
10,Gao,10,,,1.48,Gao_0010,51adf7a87b24832f75ab46b189b8a1e2466f492853d757bf379af1b27b0765ff,662249b27f71717e6cd10bc40d9d82bd63bbfc14fed03ba60280ffb003a773e7,f281a8d4cf4547a47d63973e62c7bea7679fb965bd08e3fcfa07b83aa89c00cb,9cb9587607483306e109f49e29b4cf17ac84230ae613c731ffe1f24b5080e681,a19e171071cffabf3ba080c75d84dd1872f6f80810fc801f314deccd3d88fb0b,1142,729,739,689
11,Gao,11,,,2.09,Gao_0011,a2b06273ef482d6c34673ad930fb3b9b91a2c4a027ef540c74cf57624d74bb9c,c974279b3978329f1ff6eb86effe3f4876852e90b6dfe8871e8072e64e9417ab,414defe8b4c4e50c30581832c0490bbf88a1708e20f9db07422688efa735785e,cdf05379e710714135a660125bba7ffd7342168f37e250c7fb8bc9299e1f43c7,cc7124019f3b0e8febbf3c72829b707d117b6f90543805d2bbb891445e3294ad,298,948,938,690
