split_seed,model_seed,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
0,0,0.6664593000332261,0.674745006914677,0.4353862146768021,1.880871183551924,1.439526073491344,-0.2327432708384899,0.1682844356559318,1.0178321364218608
0,1,0.672363036428238,0.6591306760830428,0.4216323143380466,1.9036422020200277,1.4399403118026943,-0.43276452846252,0.3094703155603517,1.0361065194700532
0,2,0.6652477330779496,0.6704666695976388,0.4172896312501224,1.9107756008265668,1.457118011867771,-0.3919928700018387,0.2445635340125022,1.042665035929092
0,3,0.6670101319398491,0.6817759901863183,0.4357457579809721,1.8802722233858424,1.4430419498194869,-0.2309584414156583,0.0879906250838649,1.0395316392445713
0,4,0.6530075038875526,0.6761853449141786,0.4137454113725053,1.916577747805302,1.468124809459998,-0.281569791599535,0.3058488934413705,0.9931913693198092
1,0,0.6307903457104818,0.6263989176692567,0.3585771215596237,1.9726022140028323,1.5560976624533178,-0.4837958882208026,0.6237759364966907,0.958741035402366
1,1,0.6515607664400332,0.6421155211826848,0.4086362401653216,1.894063985213609,1.5075461149260048,-0.3060768406971225,0.1855920335971099,1.0337451107702662
1,2,0.5811451131927547,0.5754806471176723,0.3212247307281891,2.0292254401743834,1.5875307468475686,0.0805008212060091,0.616471647453865,0.8238640870138051
1,3,0.601500451148301,0.5763774058273766,0.3506613470831605,1.9847367938181824,1.660020496523274,-0.0481109621225013,-0.7496861976660499,1.2083890050850294
1,4,0.6306335723413562,0.6397621775167559,0.396344721436324,1.9136468476773232,1.5457770356864091,0.0098267164303078,0.2032395350396379,0.9451756160047396
2,0,0.6062296490079815,0.6096419461252728,0.3494488351786649,1.8910331355076653,1.503516213231099,-0.2540625454987296,0.6495988533093001,0.8840432349634424
2,1,0.6117897644546809,0.635570068587844,0.3417548051825866,1.9021828340050595,1.5209806241586596,-0.3761175396050223,0.7666935810691115,0.8812482206573904
2,2,0.5970477217436619,0.6002862906932519,0.3390240106473289,1.9061244459098208,1.5199846934604768,-0.1837867376765374,0.7098864012570012,0.8488802524020945
2,3,0.6675169707637205,0.6751267705774069,0.4216550968260436,1.783002145222627,1.3835607703852777,-0.3198375191185968,0.6491968694055156,0.901545414717298
2,4,0.6072022992061682,0.6198026452273607,0.3446318695464381,1.898021242224386,1.5088232228817005,-0.2367680334718898,0.7936071917733838,0.8375786398534352
3,0,0.6236602491372244,0.6166529104772097,0.3872257519386957,1.945214274630448,1.5091386655624086,-0.1020823526761938,0.0633298674734859,1.0100838367221443
3,1,0.6717314457531831,0.6872870749786105,0.438846790717992,1.8614780545067835,1.490761365941682,-0.2329919370692049,-0.1302764638720356,1.097860084825842
3,2,0.6440199942626659,0.6670275115682226,0.3935463658538718,1.9351560697856327,1.5100834746627467,-0.3473312110143983,0.102900936061162,1.0679391763134125
3,3,0.674661358640334,0.6914800600558089,0.4524047681073857,1.838853048182656,1.4367151381099754,-0.0558966221810083,-0.2387315920843389,1.0757551775143626
3,4,0.6392393685619028,0.658323148855394,0.3931230722244754,1.9358313038875463,1.4963377461655536,-0.3094105716777321,0.3070063623737472,1.000661277951047
4,0,0.6280457070814537,0.6417553673814337,0.3870275684019275,1.9049330750797195,1.4995937731125717,-0.1981922656114901,0.3432874601312435,0.9574602825690794
4,1,0.592943233368147,0.586541334628516,0.350452906212388,1.96094120848126,1.6021153809215491,0.0277811187911326,-0.2324917027824997,1.0562888036456923
