split_seed,n_model_seeds,n_test,r,spearman_rho,r2,rmse,mae,mean_signed_error,calibration_intercept,calibration_slope
0,5,143,0.660180721677452,0.6266704560660696,0.42789192082705396,2.597220044146208,1.8480009850713754,0.2432078693088116,0.5049907945438692,0.9242214410497657
1,5,141,0.5568292179705974,0.5947546142225625,0.2945239876636703,2.754030145153205,2.0309969384619526,0.27986135448969823,1.1004504789230052,0.8597588195719303
2,5,147,0.6932973737642499,0.6669865425554615,0.4491937505557866,2.3564274559590523,1.8543399037147055,-0.5575264935590781,0.8866900512389446,0.9649525089735764
3,5,142,0.46406937280143595,0.4505063629918699,0.16331072456244622,2.6172358384543597,1.9944753361419894,-0.2938255380576766,3.174371575576151,0.6949272286959775
4,5,144,0.5741265599034093,0.5139407324635697,0.2916694884348545,2.603357528586737,1.9056517784794171,-0.20887413571278243,2.465802093863057,0.7585621218883283
5,5,147,0.3818326905384432,0.3368856322335344,0.0002025870420074849,3.1297277971675936,2.2812982856010904,0.5153964884427128,4.020143433849174,0.5259095997148934
6,5,151,0.7117464203757964,0.6861359030769639,0.4999706485306935,2.279488010840709,1.6965579029740085,-0.2200401896672531,0.7891823095682522,0.9415396445551574
7,5,139,0.611131554612577,0.5211682208954485,0.34470839132918984,2.4540155088732614,1.9807689429830306,-0.24012912059430605,1.9875045932601092,0.802928439058644
8,5,143,0.6455138706711433,0.6571043676476704,0.4114368156866688,2.3608705985492118,1.7731144588310401,0.06398387555475846,0.8892835091412371,0.9029010145446067
9,5,145,0.7015440672230154,0.6897557903395029,0.4655555786088922,2.2722940787734736,1.7638637301017497,-0.40303893105737076,1.586124646149852,0.876369283991307
