array_index,partition,pair_key,donor_scaffold,acceptor_scaffold,donor_smiles,acceptor_smiles
0,development_validation,CC(C(F)=C(C(C1=CC=C(S1)C)=C2N=C3[Mg])F)=C2N=C3OCC(CCCCCC)CCCCCCCC||O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3,c1csc(-c2cccc3nccnc23)c1,C=C1C(=Cc2cc3sc4c([nH]c5c6[nH]c7c8sc(C=C9C(=C)c%10ccccc%10C9=O)cc8sc7c6c6nsnc6c54)c3s2)C(=O)c2ccccc21,CC(C(F)=C(C(C1=CC=C(S1)C)=C2N=C3[Mg])F)=C2N=C3OCC(CCCCCC)CCCCCCCC,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S7)C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3
1,scaffold_overlap_quarantine,CC(C1=NSN=C12)=C(C=C2C(S3)=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C3C)F||O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,c1csc(-c2cccc3nsnc23)c1,O=C1NC(=S)SC1=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C5SC(=S)NC5=O)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12,CC(C1=NSN=C12)=C(C=C2C(S3)=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C3C)F,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C4C(C=C89)=C5C=C8C(SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C%13)=C%13C9(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S
2,development_train,CC(C1=NSN=C21)=C(OCC(CCCCCC)CCCC)C(OCC(CCCC)CCCCCC)=C2C3=CC4=C(S3)C=C(C)S4||c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,c1cc(-c2cc3sccc3s2)c2nsnc2c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(C1=NSN=C21)=C(OCC(CCCCCC)CCCC)C(OCC(CCCC)CCCCCC)=C2C3=CC4=C(S3)C=C(C)S4,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2
3,development_train,CC(S1)=C(CCCCC(CC)CC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCC(CC)CC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C7C9=CC(Cl)=C(CC(CC)CCCC)S9||c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,c1csc(-c2nc3sc(-c4ccc(-c5cc6c(-c7cccs7)c7sccc7c(-c7cccs7)c6s5)s4)nc3s2)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(S1)=C(CCCCC(CC)CC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCC(CC)CC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C7C9=CC(Cl)=C(CC(CC)CCCC)S9,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F
4,development_fixed_test,CC(S1)=C(CCCCC(CC)CCCCCC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCC(CCCCCC)CC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C7C9=CC(Cl)=C(CC(CC)CCCC)S9||c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,c1csc(-c2nc3sc(-c4ccc(-c5cc6c(-c7cccs7)c7sccc7c(-c7cccs7)c6s5)s4)nc3s2)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(S1)=C(CCCCC(CC)CCCCCC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCC(CCCCCC)CC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C7C9=CC(Cl)=C(CC(CC)CCCC)S9,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F
5,development_train,CC(S1)=C(CCCCCC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCCC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC=C(S8)SCC(CCCCCC)CCCC)=C7C9=CC=C(S9)SCC(CCCC)CCCCCC||c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,c1csc(-c2nc3sc(-c4ccc(-c5cc6c(-c7cccs7)c7sccc7c(-c7cccs7)c6s5)s4)nc3s2)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(S1)=C(CCCCCC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCCC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC=C(S8)SCC(CCCCCC)CCCC)=C7C9=CC=C(S9)SCC(CCCC)CCCCCC,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F
6,development_fixed_test,CC(S1)=C(CCCCCCC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCCCC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C7C9=CC(Cl)=C(CC(CC)CCCC)S9||c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F,c1csc(-c2nc3sc(-c4ccc(-c5cc6c(-c7cccs7)c7sccc7c(-c7cccs7)c6s5)s4)nc3s2)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(S1)=C(CCCCCCC)C=C1C2=NC(S3)=C(S2)N=C3C4=CC(CCCCCCC)=C(S4)C5=CC(C(S5)=C(C6=C7SC(C)=C6)C8=CC(Cl)=C(S8)CC(CCCC)CC)=C7C9=CC(Cl)=C(CC(CC)CCCC)S9,c1(cc2c(cc1F)C(=O)/C(=C\c1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)/C=C/1\C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/C2=C(C#N)C#N)F
7,development_train,CC(S1)=C(CCCCCCCC)C=C1C(O2)=NN=C2C3=CC(CCCCCCCC)=C(C4=CC5=C(C6=C(C(C7=CC=C(S7)CC(CCCCCC)CCCCCCCC)=C5S4)C=C(C)S6)C8=CC=C(S8)CC(CCCCCCCC)CCCCCC)S3||O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C(C5=CC=C(CCCCCC)S5)(C6=C7C=C8C(C9=CC=C(S9)CCCCCC)(C%10=CC=C(S%10)CCCCCC)C%11=C(SC%12=C%11SC(/C=C%13C(C%14=CC=CC=C%14C\%13=C(C#N)\C#N)=O)=C%12)C8=C6)C(S%15)=CC=C%15CCCCCC)=C7S4)S3,c1csc(-c2nnc(-c3ccc(-c4cc5c(-c6cccs6)c6sccc6c(-c6cccs6)c5s4)s3)o2)c1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2cccs2)(c2cccs2)c2cc3c(cc2-4)C(c2cccs2)(c2cccs2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(S1)=C(CCCCCCCC)C=C1C(O2)=NN=C2C3=CC(CCCCCCCC)=C(C4=CC5=C(C6=C(C(C7=CC=C(S7)CC(CCCCCC)CCCCCCCC)=C5S4)C=C(C)S6)C8=CC=C(S8)CC(CCCCCCCC)CCCCCC)S3,O=C(C1=CC=CC=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C(C(C5=CC=C(CCCCCC)S5)(C6=C7C=C8C(C9=CC=C(S9)CCCCCC)(C%10=CC=C(S%10)CCCCCC)C%11=C(SC%12=C%11SC(/C=C%13C(C%14=CC=CC=C%14C\%13=C(C#N)\C#N)=O)=C%12)C8=C6)C(S%15)=CC=C%15CCCCCC)=C7S4)S3
8,development_train,CC(S1)=C(CCCCCCCC)C=C1C2=CC(/C=C3S/C(N(C/3=O)CC)=C(C#N)\C#N)=C(S2)C4=CC(CCCCCCCC)=C(S4)C(SC5=C(C6=C7SC(C)=C6)C8=CC=C(S8)CCCCCCCC)=CC5=C7C9=CC=C(CCCCCCCC)S9||c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2,C=c1[nH]c(=O)c(=Cc2cc(-c3cccs3)sc2-c2ccc(-c3cc4c(-c5cccs5)c5sccc5c(-c5cccs5)c4s3)s2)s1,C=C1C(=Cc2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(C=C4C(=C)c5ccccc5C4=O)sc23)C(=O)c2ccccc21,CC(S1)=C(CCCCCCCC)C=C1C2=CC(/C=C3S/C(N(C/3=O)CC)=C(C#N)\C#N)=C(S2)C4=CC(CCCCCCCC)=C(S4)C(SC5=C(C6=C7SC(C)=C6)C8=CC=C(S8)CCCCCCCC)=CC5=C7C9=CC=C(CCCCCCCC)S9,c12cc3c(cc1C(c1c2sc2c1sc(c2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)c1c(C3(c2ccc(cc2)CCCCCC)c2ccc(cc2)CCCCCC)c2c(s1)cc(s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cccc2
9,development_train,CC(S1)=CC=C1C(C(C(C(C(S2)=CC=C2C3=CC4=C(C5=CC(Cl)=C(CC(CCCC)CC)S5)C6=C(C=C(C)S6)C(C7=CC(Cl)=C(CC(CC)CCCC)C7)=C4S3)=C8C9=O)=N%10)=NN%10CCC(CCCC)CC)=C8C(N9CCCCCCCC)=O||O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N,O=C1NC(=O)c2c1c(-c1cccs1)c1n[nH]nc1c2-c1ccc(-c2cc3c(-c4cccs4)c4sccc4c(C4=CC=CC4)c3s2)s1,C=C1C(=Cc2cc3sc4c5c6nsnc6c6c7sc8cc(C=C9C(=C)c%10ccccc%10C9=O)sc8c7n(-c7ccccc7)c6c5n(-c5ccccc5)c4c3s2)C(=O)c2ccccc21,CC(S1)=CC=C1C(C(C(C(C(S2)=CC=C2C3=CC4=C(C5=CC(Cl)=C(CC(CCCC)CC)S5)C6=C(C=C(C)S6)C(C7=CC(Cl)=C(CC(CC)CCCC)C7)=C4S3)=C8C9=O)=N%10)=NN%10CCC(CCCC)CC)=C8C(N9CCCCCCCC)=O,O=C(C/1=C\C2=C(C3=C(S2)C(N4C5=CC=C(CCCCCC)C=C5)=C(C6=C4C7=C(C8=NSN=C68)C(SC9=C%10SC(/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)/C#N)F)=O)=C9CCCCCCCCCCC)=C%10N7C%13=CC=C(CCCCCC)C=C%13)S3)CCCCCCCCCCC)C%14=CC(F)=C(F)C=C%14C1=C(C#N)/C#N
