split_seed,array_index,partition,source,source_row,pair_key,safe_any_encoding_group_id
12,0,train,Gao,0,Gao_0000,681
12,1,test,Gao,1,Gao_0001,682
12,2,train,Gao,2,Gao_0002,683
12,3,test,Gao,3,Gao_0003,684
12,4,test,Gao,4,Gao_0004,684
12,5,train,Gao,5,Gao_0005,685
12,6,validation,Gao,6,Gao_0006,686
12,7,train,Gao,7,Gao_0007,687
12,8,train,Gao,8,Gao_0008,687
12,9,train,Gao,9,Gao_0009,688
12,10,train,Gao,10,Gao_0010,689
12,11,train,Gao,11,Gao_0011,690
12,12,train,Gao,12,Gao_0012,691
12,13,train,Gao,13,Gao_0013,692
12,14,test,Gao,14,Gao_0014,693
12,15,train,Gao,15,Gao_0015,694
12,16,validation,Gao,16,Gao_0016,695
12,17,train,Gao,17,Gao_0017,696
12,18,train,Gao,18,Gao_0018,697
12,19,train,Gao,19,Gao_0019,698
12,20,train,Gao,20,Gao_0020,699
12,21,train,Gao,21,Gao_0021,700
12,22,train,Gao,22,Gao_0022,701
12,23,train,Gao,23,Gao_0023,702
12,24,train,Gao,24,Gao_0024,703
12,25,train,Gao,25,Gao_0025,704
12,26,test,Gao,26,Gao_0026,705
12,27,train,Gao,27,Gao_0027,706
12,28,train,Gao,28,Gao_0028,707
12,29,test,Gao,29,Gao_0029,708
12,30,train,Gao,30,Gao_0030,709
12,31,test,Gao,31,Gao_0031,710
12,32,test,Gao,32,Gao_0032,711
12,33,test,Gao,33,Gao_0033,712
12,34,test,Gao,34,Gao_0034,713
12,35,train,Gao,35,Gao_0035,714
12,36,test,Gao,36,Gao_0036,715
12,37,train,Gao,37,Gao_0037,716
12,38,train,Gao,38,Gao_0038,717
12,39,train,Gao,39,Gao_0039,718
12,40,train,Gao,40,Gao_0040,719
12,41,test,Gao,41,Gao_0041,720
12,42,train,Gao,42,Gao_0042,721
12,43,train,Gao,43,Gao_0043,722
12,44,train,Gao,44,Gao_0044,723
12,45,train,Gao,45,Gao_0045,724
12,46,test,Gao,46,Gao_0046,725
12,47,train,Gao,47,Gao_0047,726
12,48,test,Gao,48,Gao_0048,727
12,49,test,Gao,49,Gao_0049,728
12,50,train,Gao,50,Gao_0050,729
12,51,train,Gao,51,Gao_0051,730
12,52,train,Gao,52,Gao_0052,731
12,53,train,Gao,53,Gao_0053,732
12,54,train,Gao,54,Gao_0054,733
12,55,train,Gao,55,Gao_0055,734
12,56,train,Gao,56,Gao_0056,735
12,57,train,Gao,57,Gao_0057,736
12,58,train,Gao,58,Gao_0058,737
12,59,train,Gao,59,Gao_0059,738
12,60,train,Gao,60,Gao_0060,739
12,61,test,Gao,61,Gao_0061,740
12,62,train,Gao,62,Gao_0062,741
12,63,train,Gao,63,Gao_0063,742
12,64,test,Gao,64,Gao_0064,743
12,65,train,Gao,65,Gao_0065,744
12,66,train,Gao,66,Gao_0066,745
12,67,train,Gao,67,Gao_0067,746
12,68,train,Gao,68,Gao_0068,747
12,69,train,Gao,69,Gao_0069,748
12,70,validation,Gao,70,Gao_0070,749
12,71,train,Gao,71,Gao_0071,750
12,72,train,Gao,72,Gao_0072,751
12,73,train,Gao,73,Gao_0073,752
12,74,train,Gao,74,Gao_0074,753
12,75,train,Gao,75,Gao_0075,754
12,76,train,Gao,76,Gao_0076,755
12,77,train,Gao,77,Gao_0077,756
12,78,train,Gao,78,Gao_0078,757
12,79,train,Gao,79,Gao_0079,758
12,80,train,Gao,80,Gao_0080,759
12,81,train,Gao,81,Gao_0081,760
12,82,train,Gao,82,Gao_0082,761
12,83,train,Gao,83,Gao_0083,762
12,84,test,Gao,84,Gao_0084,763
12,85,test,Gao,85,Gao_0085,764
12,86,train,Gao,86,Gao_0086,765
12,87,train,Gao,87,Gao_0087,766
12,88,train,Gao,88,Gao_0088,767
12,89,test,Gao,89,Gao_0089,768
12,90,test,Gao,90,Gao_0090,768
12,91,train,Gao,91,Gao_0091,769
12,92,train,Gao,92,Gao_0092,770
12,93,test,Gao,93,Gao_0093,771
12,94,train,Gao,94,Gao_0094,772
12,95,validation,Gao,95,Gao_0095,773
12,96,train,Gao,96,Gao_0096,774
12,97,train,Gao,97,Gao_0097,775
12,98,test,Gao,98,Gao_0098,776
12,99,train,Gao,99,Gao_0099,777
12,100,train,Gao,100,Gao_0100,778
12,101,validation,Gao,101,Gao_0101,779
12,102,validation,Gao,102,Gao_0102,780
12,103,validation,Gao,103,Gao_0103,780
12,104,validation,Gao,104,Gao_0104,780
12,105,train,Gao,105,Gao_0105,781
12,106,train,Gao,106,Gao_0106,782
12,107,train,Gao,107,Gao_0107,783
12,108,train,Gao,108,Gao_0108,784
12,109,train,Gao,109,Gao_0109,785
12,110,train,Gao,110,Gao_0110,786
12,111,train,Gao,111,Gao_0111,787
12,112,train,Gao,112,Gao_0112,788
12,113,train,Gao,113,Gao_0113,789
12,114,test,Gao,114,Gao_0114,790
12,115,train,Gao,115,Gao_0115,791
12,116,train,Gao,116,Gao_0116,792
12,117,test,Gao,117,Gao_0117,793
12,118,train,Gao,118,Gao_0118,794
12,119,train,Gao,119,Gao_0119,795
12,120,train,Gao,120,Gao_0120,796
12,121,validation,Gao,121,Gao_0121,797
12,122,train,Gao,122,Gao_0122,798
12,123,train,Gao,123,Gao_0123,799
12,124,train,Gao,124,Gao_0124,800
12,125,train,Gao,125,Gao_0125,801
12,126,train,Gao,126,Gao_0126,802
12,127,test,Gao,127,Gao_0127,803
12,128,train,Gao,128,Gao_0128,804
12,129,train,Gao,129,Gao_0129,805
12,130,train,Gao,130,Gao_0130,805
12,131,test,Gao,131,Gao_0131,806
12,132,test,Gao,132,Gao_0132,807
12,133,test,Gao,133,Gao_0133,808
12,134,train,Gao,134,Gao_0134,809
12,135,test,Gao,135,Gao_0135,810
12,136,test,Gao,136,Gao_0136,811
12,137,train,Gao,137,Gao_0137,812
12,138,train,Gao,138,Gao_0138,813
12,139,train,Gao,139,Gao_0139,814
12,140,train,Gao,140,Gao_0140,815
12,141,train,Gao,141,Gao_0141,816
12,142,test,Gao,142,Gao_0142,817
12,143,train,Gao,143,Gao_0143,818
12,144,test,Gao,144,Gao_0144,819
12,145,train,Gao,145,Gao_0145,820
